序号,楼盘ID,楼盘名称,楼盘地址（到门牌号）,经纬度,物业名称,楼盘交付时间,入住户数,预计投放点位数,实际安装点位,"房价
（元/m2）",主力户型面积,目前开发状态,需解决的问题,城市
18,,新建村2期,北京市通州区温榆河西路,"39.9229572700,116.6389519898",北京京福源物业管理有限公司,2014,6200,18,18,45000,80,已经安装,,北京
947,,橡树湾,北京市海淀区清河学府树家园,"40.0287071969,116.3324523166",华润置地(北京)物业管理有限责任公司,2013,6100,14,0,94251,70,已经签约,,北京
19,,华贸奥苑,北京市朝阳区清河营南街7号院,"40.0462444710,116.4328547014",北京华贸第一太平物业管理有限公司,2011/9/30,6000,16,0,62800,350,已接洽未签约,,北京
20,,后现代城,北京市朝阳区百子湾路16号,"39.8987573475,116.4862534282",北京西宇嘉业物业管理有限公司百子园分公司,2008,5952,12,12,74378,85,已经安装,,北京
21,,林肯公园,北京市北京经济技术开发区文化园西路8号,"39.8039556842,116.4923498145",北京晟邦物业管理有限公司,2010/6/7,5928,15,0,58904,90,已接洽未签约,,北京
22,,后现代城,朝阳安外北苑路,"40.0008723344,116.4199252814",北京西宇嘉业物业管理公司,2008.10.2,5900,10,0,70000,60,已经签约,,北京
23,,怡海花园,北京市丰台区南四环西路129号,"39.8310576880,116.3023137003",怡海达丰物业管理（北京）有限公司,2000,5800,14,0,58955,85,已接洽未签约,,北京
24,,彩虹城,北京市丰台区光彩路66号院,"39.8391084243,116.4154498638",北京和泓物业服务有限公司,2004/7/28,5600,15,9,62188,88,已经签约,,北京
25,,国瑞城,崇外街道,"39.8986430952,116.4227782482",北京国瑞物业服务有限公司,2012,5474,12,0,103707,90,已接洽未签约,,北京
26,,京铁家园,丰台西临西四环路，北靠即将建设的莲花池快速路 ,"39.8943947337,116.2793316514",大方物业,2004.4.16,5466,12,0,53300,136,已接洽未签约,,北京
27,,远见名苑小区,北京市西城区广安门外红居街,"39.8841863418,116.3410297466",北京明华嘉业物业管理有限责任公司,2005,5414,12,0,96729,85,已接洽未签约,,北京
28,,望京新城,北京市朝阳区望京新城A1区,"39.9924385216,116.4659324052",北京市望京实业总公司,2000/5/6,5300,13,0,63891,90,已接洽未签约,,北京
29,,国美第一城,北京市朝阳区青年路115号,"39.9333658155,116.5174993349",北京上邦智博停车管理有限公司,2006,5293,15,6,68315,105,已经安装,,北京
30,,北辰福第,北京市朝阳区常营北小街2号院6号楼,"39.9298072645,116.6016913171",北京北辰信诚物业管理有限责任公司,2008,5096,12,0,50293,78,已接洽未签约,,北京
31,,柏林爱乐,北京市朝阳区林泉街8号院,"39.9237853712,116.5866815115",北京正中方物业管理有限责任公司,2008,5067,14,10,61507,95,已经安装,,北京
32,,政泰家园,北京市西城区广安门外鸭子桥45号院,"39.9484408496,116.5391990731",北京正华天泰物业管理有限责任公司,2008,5067,15,0,58446,70,已接洽未签约,,北京
34,,兴隆家园,北京市朝阳区高碑店乡,"39.9131471087,116.5239860105",北京天翌物业管理有限责任公司,2002/3/6,5065,12,0,60467,100,已接洽未签约,,北京
35,,广安康馨家园,北京市丰台区丰仪南路一号院,"39.8766776775,116.2303051924",北京中商和旭物业管理有限公司,2014,5028,15,17,47367,80,已经安装,,北京
36,,新天地,北京市朝阳区朝阳路甲5号,"39.9130027250,116.6044561926",北京天诚广厦物业服务有限公司,2004,5000,15,20,57593,70,已经安装,,北京
37,,北花园小区,朝阳区北花园中路1号院,"39.9045787735,116.5494769922",北京奥西物业管理有限公司,2016/9/30,5000,12,0,34000,55,已接洽未签约,,北京
38,,新华联丽港中心,北京市朝阳区酒仙桥,"39.9756269428,116.4928327121",北京悦豪物业管理有限公司,2003,4735,14,0,49342,70,已接洽未签约,,北京
39,,花市枣苑,北京市东城区东花市大街118号,"39.8963525899,116.4293956238",北京中和枣苑物业管理有限责任公司,2001,4735,10,6,49342,70,已经签约,,北京
40,,瑞海家园,西红门镇,"39.7884475760,116.3306898000",北京鸿坤瑞邦物业管理有限公司,2004/8/20,4681,12,0,41634,90,尚未接洽谈判,,北京
41,,百环家园,北京市朝阳区广渠路66号,"39.8905364372,116.4651897263",北京腾达永顺停车管理有限公司,2005,4600,13,13,57000,95,已经安装,,北京
42,,首座御园,北京市大兴区广和大街7号院23号楼4单元101室,"39.7484289920,116.3660952507",北京筑宇物业管理有限责任公司大兴分公司,2000,4566,12,30,39223,110,已经安装,,北京
43,,海特花园,北京市石景山区海特花园,"39.9327407563,116.1874626607",北京松雷物业管理有限责任公司,1998/9、3,4541,10,0,50444,100,已接洽未签约,,北京
44,2148,泰禾一号社区1号院,北京市通州东五环京津高速通黄路出口2A方向南行800米,"39.8209357120,116.5834762415",福州泰禾物业管理有限公司北京分公司,2016,4500,12,18,54208,100,已经安装,,北京
45,,奥林匹克花园,北京市朝阳区东坝乡,"39.9603548638,116.5439238251",北京奥园物业管理有限公司,2003,4471,10,0,65751,90,已接洽未签约,,北京
46,,星河城,朝阳望京小区,"39.8448643906,116.3618590019",北京星河城物业管理有限公司,2006.2.12,4400,12,0,66000,140,已接洽未签约,,北京
47,,苹果社区,北京市朝阳区百子湾路32号,"39.8980860808,116.4696461163",北京今日今典物业管理有限责任公司,2005/8/28,4335,11,0,83247,100,已接洽未签约,,北京
48,,华腾园,北京市东三环南路54号院,"39.8874689867,116.4630074340",北京华腾世纪物业管理有限公司,2000/4/1,4236,13,0,69583,110,已接洽未签约,,北京
49,,朝新嘉园,东坝乡,"39.9490030356,116.5545403366",北京金海燕物业管理有限公司,2013/9/30,4210,12,0,47513,100,已接洽未签约,,北京
50,,保利嘉园,北京市朝阳区常营乡,"39.9282000830,116.5875482942",保利物业管理（北京）有限公司,2010,4199,12,0,47603,110,已经签约,,北京
51,,天居园,北京市朝阳区红军营南路,"40.0384750728,116.4141119203",北京信和物业管理有限责任公司,2007/9.7,4123,10,0,61792,100,已接洽未签约,,北京
52,,青年汇佳园三期,朝阳北路,"39.9208964621,116.5157103549",北京西宇嘉业物业管理有限公司青年路分公司,2006/10/1,4000,10,0,80000,70,已接洽未签约,,北京
53,,青年汇一号地,朝阳北路,"39.9224261610,116.5118208559",北京西宇嘉业物业管理有限公司青年路分公司,2006/10/1,4000,10,0,80000,70,已接洽未签约,,北京
54,,融科钧廷,北京市通州区马驹桥镇景盛北一街31号院,"39.7448114627,116.5453352345",第一太平融科物业管理（北京）有限公司,2014/9/1,4000,10,0,24000,40,尚未接洽谈判,,北京
55,,拾景明苑,北京市石景山体育场南路,"39.9019443211,116.2006809786",乐生活（北京）智慧社区投资发展股份有限公司,2017.9.10,4000,10,0,51000,90,已接洽未签约,,北京
56,,雍景四季,北京市石景山区西黄新村西里,"39.9382583520,116.2106318964",北京万佳鑫物业管理有限责任公司,2009/5/9,3992,10,0,57394,100,已接洽未签约,,北京
57,,京贸国际公寓,北京市通州区八里桥南街68号,"39.9051010250,116.6230691126",北京市天旭物业管理中心,1905/7/3,3986,9,0,54139,100,已接洽未签约,,北京
58,,富力家园,北京市双井地区广渠门外大街北侧,"39.8955970808,116.4744391163",北京恒富物业服务有限公司,2004/7/14,3982,13,0,39031,50,已经签约,,北京
59,,世纪东方嘉园,北京市朝阳区南磨房(世纪东方嘉园),"39.8755679753,116.4935210233",北京金罗马物业管理有限公司,2004/4/1,3968,10,0,64843,90,已接洽未签约,,北京
60,,银地家园,北京市丰台区新村,"39.8194756286,116.3336332145",北京银地物业管理有限公司,2005/8/9,3923,10,0,46835,100,已接洽未签约,,北京
61,,新起点嘉园,长春桥路5号,"39.9616511073,116.3040649535",北京龙城兴业物业管理有限公司,2003/4/7,3919,10,0,99040,90,已接洽未签约,,北京
62,,新起点嘉园写字楼,万柳东路新起点嘉园12号楼,"39.9606311073,116.3034449535",北京龙城兴业物业管理有限公司,2003.1.8,3919,10,0,99049,100,已接洽未签约,,北京
63,,朝丰家园,北京市朝阳区豆各庄天达路,"39.8517278646,116.5635985212",北京朝开物业管理有限公司,2009.5.25,3900,10,0,38000,100,已接洽未签约,,北京
64,,银地家园 ,丰台南四环外1公里，新发地桥向西500米,"39.8194756286,116.3336332145",北京银地物业管理有限公司,2005.8.20,3900,10,0,46800,130,已接洽未签约,,北京
65,,俊景苑,北京市东城区朝内大街前柺棒胡同28号院,"39.9231811055,116.4211302926",北京市东旭佳业物业管理有限责任公司,2004/7/9,3897,10,0,53098,90,已接洽未签约,,北京
66,,珠江骏景,丰台区果园路43号,"39.8526495237,116.3957391893",广东康景物业服务有限公司,2005年1月,3897,10,0,63125,85,已接洽未签约,,北京
67,,富力阳光美园,北京市朝阳区常营中路2号院,"39.9293442709,116.6067250426",北京恒富物业服务有限公司,2010/5/17,3850,10,0,49889,80,已接洽未签约,,北京
68,,八家嘉园,北京市海淀区东升乡,"40.0165363683,116.3432633942",深圳市深华物业集团有限公司,2012,3820,10,0,58709,80,已接洽未签约,,北京
69,,天伦锦城,丰台南四环以南花乡新发地市场西侧,"39.8170156286,116.3343632145",北京金润隆物业管理有限责任公司,2010年1月,3797,10,0,46442,80,尚未接洽谈判,,北京
70,,芳源里,北京市大兴区旧宫镇南小街芳源里,"39.7844877521,116.4172083249",北京延龙物业管理有限责任公司,2002/5、2,3688,10,0,45004,100,已接洽未签约,,北京
71,,万象新天家园,北京市朝阳区常营乡常营中路12、14号楼,"39.9261342709,116.6124580426",北京鸿瑞侨物业管理有限公司,2010/12/19,3682,10,0,57604,65,尚未接洽谈判,,北京
72,,明天第一城,立清路,"40.0461898610,116.4092104358",长城物业集团股份有限公司,2007,3673,10,2,57707,80,已经安装,,北京
73,,沿海赛洛城,石门东路沿海赛洛城一期,"39.8961271198,116.5039881424",美佳物业管理（深圳）有限公司北京分公司,2007,3669,10,0,65611,80,已接洽未签约,,北京
74,,西马金润家园,北京市丰台区西马场南里7号院、大红门西路35#院,"39.8380757319,116.3838416628",北京市西马物业管理有限责任公司,2005/7/9,3576,10,0,56578,100,已接洽未签约,,北京
75,,北苑家园,北京市朝阳区北苑家园茉藜园,"40.0395400276,116.4243142258",北京城承物业管理有限责任公司,2003,3561,10,0,53841,69,已接洽未签约,,北京
76,2148,东亚尚品台湖,北京市通州区胡家垡村甲8号院,"39.8360435001,116.6202667682",北京东亚时代物业管理有限公司,"2016.9,30",3500,10,10,46000,50,已经安装,,北京
77,,丽泽景园,北京市丰台区益泽路1号院,"39.8653785590,116.3083760580",北京恒丰顺达物业管理有限责任公司,2013/8/1,3500,10,0,53893,78,已接洽未签约,,北京
78,,金泰先锋,朝阳区百子湾石门村路一号,"39.8957615725,116.5002646672",北京金泰物业管理有限公司,2008/10/1,3500,10,0,70000,120,已接洽未签约,,北京
79,,雍和家园,东滨河路3号,"39.9503180230,116.4214451626",北京银达物业管理有限责任公司,2002/5/30,3500,10,0,100000,150,已接洽未签约,,北京
80,,彩虹新城,北京市大兴区兴华北路二段,"39.7480794744,116.3328454756",北京和泓物业服务有限公司,2008/6/24,3433,10,11,52182,60,已经安装,,北京
81,,华纺易园,北京市朝阳区青年路,"39.9301417063,116.5113814349",北京华纺正金物业管理有限公司,2006/12/1,3407,10,0,78742,100,已接洽未签约,,北京
82,,北京华侨城,朝阳东四环小武基北路,"39.8655189146,116.5031415324",北京华侨城物业管理公司,2011.3.12,3320,10,0,72200,130,已接洽未签约,,北京
83,,远洋天地,朝阳区东四环中路慈云寺桥,"39.9134967769,116.4925930403",远洋亿家物业服务股份有限公司,2002,3300,11,11,72785,80,已经安装,,北京
84,,华远百岛园,西城北京展览馆宾馆北侧,"39.9426085804,116.3478437031",北京圣瑞物业服务有限公司,2015.6.10,3280,10,0,50500,85,尚未接洽谈判,,北京
85,,铭悦园小区,北京市通州区土桥中街,"39.8732220851,116.7021482740",德利通（北京）停车场管理有限公司,2015,3279,10,6,50502,80,已经安装,,北京
86,,远洋沁山水,北京市石景山区石槽中街东150米,"39.9019437060,116.2508675103",远洋亿家物业服务股份有限公司,2008,3275,10,6,85795,90,已经安装,,北京
87,,林萃公寓,北京市朝阳区林翠路11号院,"40.0140586216,116.3715584372",北京国天物业管理发展有限公司,1999,3275,10,0,80849,69,尚未接洽谈判,,北京
88,,都市馨园,北京市东城区兴隆都市馨园小区,"39.8952553699,116.4140854982",北京馨康景物业管理有限责任公司,2004/6/26,3258,10,0,102435,90,已接洽未签约,,北京
89,,官悦欣园,化工路官悦欣园B区,"39.8813583197,116.5008404024",北京官庄物业管理有限公司,2014.5.2,3221,10,0,62077,120,已接洽未签约,,北京
90,,首邑溪谷,北京市大兴区兴泰街5号院,"39.7615318197,116.3093213447",北京昊坤嘉业房地产开发有限公司物业管理分公司,2012,3203,10,5,78892,105,已经安装,,北京
91,,电子城小区,北京市朝阳区驼房营西里3号、4号东西塔、5号楼,"39.9655267151,116.5016205312",北京弘厦物业管理有限责任公司,2001/12/30,3181,10,0,51498,90,已接洽未签约,,北京
92,,沸城,北京市丰台区晓月中路,"39.8332849190,116.2434024247",北京市古桥物业管理中心,2009/8/9,3151,10,0,39639,90,已接洽未签约,,北京
93,,西局欣园,北京市丰台区丰台北路东73号甲,"39.8686993976,116.2969045447",北京嘉腾物业管理有限公司,2002/10/10,3064,10,0,75371,110,已接洽未签约,,北京
94,,东湖湾名苑,北京市朝阳区北京市朝阳区望京利泽西街8号院,"40.0080433003,116.4603146772",长城物业集团股份有限公司,2009,3061,10,0,110263,90,已接洽未签约,,北京
95,,东湖湾,朝阳望京北小河公园东侧,"40.0069633003,116.4604746772",长城物业管理有限公司,2009.2.10,3060,10,0,110800,120,已接洽未签约,,北京
96,,京棉新城,北京市朝阳区朝阳区十里堡,"39.9181458598,116.4995513668",北京京棉新城物业管理有限公司,2005/3/2,3046,10,0,53907,74,已接洽未签约,,北京
97,,本家润园,北京市东城区东花市街道南里东区1号,"39.8965590845,116.4369594014",长城物业集团股份有限公司北京物业管理分公司,2004,3000,10,10,110000,110,已经安装,,北京
98,,西长安壹号,北京市门头沟曹各庄,"39.9113414730,116.1153738644",北京易生活社区服务有限责任公司,2014,3000,10,7,40000,95,已经安装,,北京
99,,保利香槟,北京市朝阳区小营路,"39.9957032893,116.4264037644",保利物业管理（北京）有限公司,2007,3000,10,0,89685,114,已经签约,,北京
100,,富锦嘉园,北京市丰台区丰葆路,"39.8141676944,116.2907226114",北京丰台城建物业管理有限公司,2008,3000,10,0,50883,78,已接洽未签约,,北京
101,,瑞和国际,北京市定福庄北街甲15号院,"39.9215992755,116.5536222966",北京瑞美佳物业管理有限公司,2000/9/30,3000,10,0,63000,80,已接洽未签约,,北京
102,,沁园,北京市朝阳区东十里堡路5号,"39.9201480130,116.6046028826",燕侨物业,2012/9/1,3000,10,0,48000,80,尚未接洽谈判,,北京
103,,太阳园,北京市海淀区大钟寺,"39.9715906540,116.3397108298",太月物业,2002/9/1,3000,10,1,91000,130,已经安装,,北京
104,,晨月园,海淀区曙光街道晨月园,"39.9583404304,116.2824275403",北京海兴爱家物业管理中心,2007/9/1,3000,10,0,100000,82,已接洽未签约,,北京
105,,蓝靛厂观山园,北京市海淀区观山园5号楼,"39.9656926118,116.2820403303",北京世纪城物业管理有限公司,2006/10/1,3000,10,0,97000,150,已接洽未签约,,北京
106,,九龙花园,朝阳东三环路双井桥东路北,"39.8943964372,116.4698597263",北京德诚物业管理有限公司,2013.5.1,3000,10,0,60000,60,已接洽未签约,,北京
107,,今日家园,北京市海淀区西翠路5号,"39.9005134960,116.2790294314",北京今日今典物业管理有限责任公司,2001/1/1,2971,10,0,67861,100,已接洽未签约,,北京
108,,今典小区,北京市海淀区文慧园北路9号,"39.9532724861,116.3598850752",北京新惠物业管理中心,2003/6/24,2971,8,0,67861,100,已接洽未签约,,北京
109,,晓月苑,北京市丰台区晓月中路,"39.8411875808,116.2395255847",北京市古桥物业管理中心,2001/5/8,2958,9,0,39670,80,已接洽未签约,,北京
110,,城南嘉园,北京市丰台区南四环中路城南嘉园益明园、益星园,"39.8356400662,116.3671680196",北京盛世开元物业管理有限公司,2005、6/4,2957,8,0,67433,80,已接洽未签约,,北京
111,,温泉凯盛家园,北京市海淀区温泉,"40.0490228167,116.1729184326",北京宝景物业管理有限公司,2014,2954,7,0,43750,80,尚未接洽谈判,,北京
112,,晨光家园,北京市朝阳区十里堡北里,"39.9297155101,116.5081298359",北京天诺物业管理有限责任公司,2000/6/9,2946,8,0,63587,90,已接洽未签约,,北京
113,,卡布其诺,北京市朝阳区将府家园北里121号,"39.9730984774,116.5062237403",北京西国贸大物业管理有限公司,2010/9/1,2946,8,0,87547,90,已接洽未签约,,北京
114,,金色漫香林,小羊坊路,"39.8236743564,116.5209349817",北京城建物业管理有限责任公司,2009,2931,8,0,56653,60,已经签约,,北京
115,,万科四季花城,北京市顺义区顺白路万科四季花城,"40.1261440842,116.6388040368",北京万科物业服务有限公司,2008/5/9,2924,8,0,46911,90,已接洽未签约,,北京
116,,城南嘉园益嘉园, 北京市南四环中路城南嘉园益嘉园,"39.8327873335,116.3726946696",北京盛世开元物业管理有限公司,2005.7.10,2900,6,0,67400,100,已接洽未签约,,北京
955,,东瑞丽景家园,丰台区丰管路9号,"39.8585800476,116.3009558047",北京洋桥瑞丽物业,2007年7月,2900,6,0,56371,80,尚未接洽谈判,,北京
117,,远大园五区,北京市海淀区远大路知春桥西400米路南,"39.9526410690,116.2829987703",北京世纪颐和物业管理有限公司,2002.1.1,2860,5,0,100000,165,已接洽未签约,,北京
118,,世纪城远大园五区,北京市海淀区世纪城远大园五区,"39.9526410690,116.2829987703",北京世纪城物业管理有限公司,2002/5/8,2859,5,0,100025,80,已接洽未签约,,北京
119,,丰体时代,北京市丰台区丰体南路3号,"39.8660053120,116.2701794770",北京丰体时代物业管理有限公司,2005,2857,5,0,46835,110,已接洽未签约,,北京
120,,逸成东苑,北京市海淀区学院路,"40.0136177733,116.3488944919",北京太月物业管理有限责任公司,2003/2/6,2848,6,0,85233,90,已接洽未签约,,北京
121,,远洋沁山水,北京市石景山区玉泉西里一区9号楼地下一层,"39.9020337060,116.2513375103",远洋亿家物业服务股份有限公司,2009,2821,6,6,89208,85,已经安装,,北京
122,,梵谷水郡,朝阳区驼房营南路,"39.9607150390,116.5067071403",国广物业管理有限公司,2008,2800,6,0,64000,80,已接洽未签约,,北京
123,,和谐雅园小区,北京市朝阳区武圣北路6号院,"39.8874064372,116.4699697263",北京茂苑物业管理有限公司,2008,2777,6,0,56182,95,尚未接洽谈判,,北京
124,,富力桃园,北京市海淀区西三旗高新建材城住宅东三区,"40.0604398291,116.3632652140",北京恒富物业服务有限公司,2007/10/29,2758,5,0,65608,90,已经签约,,北京
125,,美景东方,朝阳松榆南路38号院,"39.8697943927,116.4699176119",北京四海安信物业管理有限公司,2004.6.25,2758,5,0,70000,100,尚未接洽谈判,,北京
126,,首创新悦都,北京市房山区长阳镇京良路北侧,"39.7734256499,116.1862813375",北京盛世物业服务有限公司,2014,2750,6,9,38913,130,已经安装,,北京
127,,金泉家园,北京市朝阳区大屯里301-304号楼、306-311号楼,"40.0045376562,116.4127758614",长城物业集团股份有限公司,2007,2748,4,0,87967,90,已经安装,,北京
128,,丰益花园,北京市丰台区丰管路3号院,"39.8601652208,116.3083803180",北京东兴联物业管理有限公司,2001,2705,6,0,59402,110,尚未接洽谈判,,北京
129,,富贵园,崇文广渠门桥西300米路北,"39.8967825899,116.4316256238",北京国瑞物业管理有限公司,2004.5.10,2700,6,0,103600,80,已接洽未签约,,北京
130,,颐源居,北京市海淀区翠微路四号,"39.9152063133,116.3058407924",北京颐源居物业管理有限责任公司,2001/6/9,2696,5,0,98641,90,已接洽未签约,,北京
131,,朝阳超级蜂巢,北京朝阳高碑店乡北花园1号,"39.9047597735,116.5491399922",河北天融物业服务有限公司北京分公司,2007,2689,6,6,46000,110,已经安装,,北京
132,,K2?海棠湾,北京市通州区云景东路,"39.8694867253,116.6650870333",绿城物业服务集团有限公司,2011,2680,6,0,58196,100,已接洽未签约,,北京
133,,连心园,北京市朝阳区常营乡,"39.9212144330,116.6081856826",北京常赢物业管理有限责任公司,2008,2655,6,0,30549,90,已接洽未签约,,北京
134,,丽晶苑,北京市朝阳区建国门外大街乙8号,"39.9065938468,116.4530852261",北京仲量联行物业管理服务有限公司,2012,2655,5,0,62809,80,尚未接洽谈判,,北京
135,,珠江丽景,北京市通州区永顺镇,"39.9330022844,116.6812472443",广东康景物业服务有限公司,2000,2655,5,0,56493,80,已经签约,,北京
136,,清芷园,育新街47号,"39.8734586040,116.3721058540",北京三原清芷园物业管理有限公司,2000.9.20,2655,6,0,104132,100,已接洽未签约,,北京
137,,爱这城一期,十里堡一号,"39.9123768118,116.5075765214",北京首万物业服务有限公司,2008/6/9,2636,5,0,78865,100,已接洽未签约,,北京
138,,鸿业兴园,花乡,"39.8361003344,116.3068042135",北京鸿基旺物业管理有限公司,2010/9/15,2615,5,0,49957,90,已接洽未签约,,北京
139,,畅柳园,北京市西城区南横东街畅柳园小区,"39.8820476926,116.3837430372",北京鲁能物业服务有限责任公司,2004,2603,5,0,103165,100,尚未接洽谈判,,北京
140,,IN北京,北京市通州区通州亦庄马驹桥,"39.7663648489,116.5783211771",北京澳西物业管理有限公司通州分公司,2011.11.1,2600,5,0,17800,50,已接洽未签约,,北京
141,,润枫领尚,通州区台湖镇兴光三街8号院,"39.8248627232,116.5549956912",北京润丰世纪物业管理有限公司,2012.9.10,2600,5,0,48000,70,尚未接洽谈判,,北京
142,,海晟国际公寓,东城东直门外大街乙36号,"39.9398081198,116.4419417338",仲量联行物业管理有限公司,2003.10.15,2600,5,0,124000,100,尚未接洽谈判,,北京
143,,中海天地 ,崇文陶然亭桥东侧,"39.8408772786,116.3869553061",中海物业管理有限公司,2008.3.20,2600,6,0,110000,90,已接洽未签约,,北京
144,,现代城,朝阳建国路179号,"39.9060837161,116.4758606042",中鸿天物业管理有限公司,2000.10.5,2570,6,0,53600,150,尚未接洽谈判,,北京
145,,澳洲康都,朝阳望京广顺北大街叶青大厦往西300米路北,"40.0132633003,116.4605546772",世纪博雅物业管理有限公司,2007.5.10,2570,6,0,81000,120,尚未接洽谈判,,北京
146,,世华龙樾,东升镇,"40.0463467852,116.3500447163",北京城承物业管理有限责任公司,2013,2568,5,0,86372,69,已接洽未签约,,北京
147,,戎晖嘉园,北京市西城区马连道茶源路18号,"39.8788762032,116.3244897712",中物联物业集团有限公司,2000/9/6,2567,6,0,115607,120,尚未接洽谈判,,北京
148,,清河新城,北京市海淀区清河镇,"40.0290174743,116.3471711919",北京强佑物业管理有限公司,2018/5/6,2552,5,0,70405,90,已接洽未签约,,北京
149,,瑞丽江畔,丰台角门西里 ,"39.8419900662,116.3734680196",北京市洋桥瑞丽物业服务有限公司,2006.10.12,2540,6,0,62000,100,已接洽未签约,,北京
150,,福盈家园,北京市朝阳区三间房西路1号院3号楼,"39.9215881043,116.5661683380",北京金源顺达物业管理有限责任公司,2010/8/28,2532,6,0,45390,90,尚未接洽谈判,,北京
151,,阳光上东,北京市东四环北路6号二区1号楼-26号楼,"39.9663813396,116.4814768486",赛特国际物业管理有限公司,2006,2532,6,0,93071,140,已接洽未签约,,北京
152,,西豪逸景,北京市西城区小马厂路1号院,"39.8924463621,116.3420845510",北京久居宝业物业管理有限公司,2004/9/6,2504,5,0,89024,130,尚未接洽谈判,,北京
153,,珠江帝景,北京市朝阳区西大望路甲23号,"39.8900721698,116.4802450165",北京市朝阳区珠江华景家园业主委员会,2004,2500,5,8,100000,120,已经安装,,北京
154,,云中心,北京市海淀区高里掌路1号院,"40.0645322918,116.1609484547",北京中经世纪科技园管理股份有限公司,2012,2500,6,6,27000,110,已经安装,,北京
155,,I立方,黄村镇庆祥南路29号院,"39.7428758790,116.3403198933",北京金隅大成物业管理有限公司,2013/9/30,2500,6,0,23000,60,尚未接洽谈判,,北京
156,,亚运花园,北京市朝阳区小营路12号,"39.9943625202,116.4244007670",北京世纪祥和物业管理有限责任公司,2006/9/30,2500,5,0,54000,120,已接洽未签约,,北京
157,,易构空间,北京市朝阳百子湾路甲16号,"39.9000947489,116.4810968698",易构空间业委会,2005/9/30,2500,6,0,63000,120,已接洽未签约,,北京
158,,京友公寓,朝阳区裕民路12号京友公寓,"39.9742943739,116.3838217361",北京鹏海物业管理有限公司,1998/10/1,2500,6,0,100000,100,尚未接洽谈判,,北京
159,,中海城香克林,北京市朝阳区成寿寺路140号院,"39.8383920897,116.4475302272",中海物业,2007/9/1,2500,5,0,65000,110,已接洽未签约,,北京
