序号,楼盘ID,楼盘名称,楼盘地址（到门牌号）,经纬度,物业名称,楼盘交付时间,入住户数,预计投放点位数,实际安装点位,"房价
（元/m2）",主力户型面积,目前开发状态,需解决的问题,城市
34,,万隆花苑,上海市奉贤区新建东路562号,"121.474976,30.926478",上海良友物业,1992.4.15,360,1,0,21755,68,尚未接洽谈判,,上海
35,,南郊御墅,上海市奉贤区德丰路,"121.486033,30.932138",上海用为物业,2011.8.5,600,2,0,44235,65,尚未接洽谈判,,上海
36,,白沙东苑,上海市奉贤区白沙东苑(清宁路南),"121.526105,30.946767",上海奉房置业,2013.11.21,790,2,0,28907,90,尚未接洽谈判,,上海
37,,白沙恒苑,上海市奉贤区清宁路239弄,"121.523164,30.94749",上海奉房置业,2013.12.5,543,2,0,29872,65,尚未接洽谈判,,上海
38,,白沙通苑,上海市奉贤区清宁路359号,"121.520942,30.946497",上海奉房置业,2012.8.6,467,1,0,24679,98,尚未接洽谈判,,上海
39,,白沙西苑,上海市奉贤区清宁路469号,"121.518984,30.946402",上海奉房置业,2013.11.21,378,1,0,29867,89,尚未接洽谈判,,上海
40,,奥克苑九华南苑,上海市奉贤区环城东路846弄,"121.470065,30.934276",上海良友物业,2004.8.12,643,2,0,34578,90,尚未接洽谈判,,上海
41,,申亚翠庭,上海市奉贤区金汇镇泰青公路119弄,"121.573504,30.99044",上海海顿物业,2012.8.19,1280,4,0,37564,80,已接洽未签约,,上海
42,,申亚花满庭,上海市奉贤区航南公路1981弄8号,"121.560489,30.98939",上海海顿物业,2012.8.20,790,2,0,37005,80,已接洽未签约,,上海
43,,九华新园,上海市奉贤区国顺路369号,"121.466858,30.937809",上海营巢物业,2012.7.9,869,3,0,35908,90,尚未接洽谈判,,上海
44,,正阳世纪星城英伦风情,上海市奉贤区正环路888弄1号-32号,"121.482584,30.916084",上海正阳物业,2007.9.16,1608,5,0,35578,65,尚未接洽谈判,,上海
45,,正阳世纪星城米兰风尚,上海市奉贤区正环路888弄65号～96号,"121.485391,30.915675",上海正阳物业,2007.9.16,1378,4,0,36900,89,尚未接洽谈判,,上海
46,,正阳世纪星城莱茵之恋,上海市奉贤区正环路889弄1号～32号,"121.480629,30.915926",上海正阳物业,2007.9.18,675,2,0,40977,93,尚未接洽谈判,,上海
47,,佳兆业香溢雅苑,上海市奉贤区海马路4333弄197号,"121.542736,30.831226",佳兆业物业,2010.6.7,1250,3,0,23821,65,已接洽未签约,,上海
48,,南行兴苑,上海市奉贤区万顺路2475弄,"121.52081,30.971317",上海良友物业,2013.8.21,1324,4,0,25799,90,尚未接洽谈判,,上海
49,,南行旺苑,上海市奉贤区万顺路2476弄,"121.524103,30.97157",上海良友物业,2013.8.21,1176,4,0,25421,90,尚未接洽谈判,,上海
50,,南行贤苑,上海市奉贤区万顺路2277号,"121.52125,30.968309",上海良友物业,2013.8.21,1275,4,0,26323,90,尚未接洽谈判,,上海
51,,南行达苑,上海市奉贤区万顺路2278弄,"121.524806,30.96869",上海良友物业,2013.8.21,907,3,0,25221,90,尚未接洽谈判,,上海
52,,南郊一品,上海市奉贤区奉贤德丰路69弄25号,"121.498697,30.931436",深圳市方益物业,2014.6.11,323,1,0,26754,110,尚未接洽谈判,,上海
53,,中粮怡庭,上海市奉贤区南桥镇德政路299弄,"121.490068,30.927666",中粮地产物业,2014.6.30,2421,7,0,26087,98,尚未接洽谈判,,上海
54,,中粮悦庭西区,上海市奉贤区贤政路333弄1-40号,"121.487377,30.926998",中粮地产物业,2014.6.30,1122,4,0,27872,98,尚未接洽谈判,,上海
55,,东原郦湾,上海市奉贤区清宁路218弄236号,"121.526085,30.948486",重庆新东原物业,"2016,3.19",310,1,0,42678,108,尚未接洽谈判,,上海
56,,百曲乐苑,上海市奉贤区万顺路2089号,"121.522584,30.964428",上海星乐物业,2012.4.21,1021,3,0,27544,110,已接洽未签约,地下车路未开,上海
57,,百曲雅苑,上海市奉贤区万顺路1988号,"121.5257,30.96231",上海星乐物业,2012.4.21,1221,4,0,28324,110,已接洽未签约,地下车路未开,上海
58,,百曲和苑,上海市奉贤区万顺路2088号,"121.525391,30.964952",上海良友物业,2012.1.30,1453,4,0,29673,98,已接洽未签约,地下车路未开,上海
59,,海韵馨园,上海市奉贤区联业路859弄68号601,"121.494997,30.842226",上海永佳物业,2009.8.12,2154,7,0,18767,108,尚未接洽谈判,,上海
60,,普康苑,上海市奉贤区环城东路2070号,"121.477729,30.910187",上海永佳物业,2002.4.21,329,1,0,28199,98,尚未接洽谈判,,上海
61,,馨雅名筑,上海市奉贤区解放东路599弄1-17号,"121.488763,30.923357",上海永佳物业,2015.8.23,280,1,0,39320,108,尚未接洽谈判,,上海
62,,海尚墅林苑,上海市奉贤区海泉路555号,"121.516401,30.843916",上海居上物业,2011.7.3,320,1,0,21421,118,尚未接洽谈判,,上海
63,,商宝兴贤公寓,上海市奉贤区韩村路85号,"121.470417,30.94617",上海奉浦物业,2008.8.12,210,1,0,30345,50,尚未接洽谈判,,上海
64,,海湾名苑,上海市奉贤区瞭海路与海农公路交叉口东150米,"121.5723,30.870242",上海丽安物业,2015.10.1,310,1,0,15432,98,已接洽未签约,,上海
65,,苏宁荣悦,上海市奉贤区南奉公路7298,"121.495153,30.92552",江苏银河物业,2016.4.16,802,3,0,42092,98,尚未接洽谈判,,上海
66,,文华苑（建修路）,上海市奉贤区南奉公路8889弄212号,"121.480834,30.918993",上海正阳物业,2014.11.2,969,3,0,36894,89,尚未接洽谈判,,上海
67,,绅鸿苑,上海市奉贤区正环路158弄1-29号,"121.487059,30.918207",上海正阳物业,2006.7.8,524,2,0,29987,90,尚未接洽谈判,,上海
68,,居礼苑,上海市奉贤区南奉公路8889弄,"121.485269,30.918256",上海正阳物业,2005.5.12,875,3,0,33466,98,尚未接洽谈判,,上海
69,,芳邻苑,上海市奉贤区南奉公路8889弄81～102号,"121.484931,30.919998",上海正阳物业,2005.5.12,345,1,0,33466,98,尚未接洽谈判,,上海
70,,名仕苑,上海市奉贤区南奉公路8889弄133号,"121.483052,30.918033",上海正阳物业,2005.5.12,432,1,0,33466,98,尚未接洽谈判,,上海
71,,文华苑,上海市奉贤区南奉公路8889弄212号,"121.480834,30.918993",上海正阳物业,2005.5.12,875,3,0,33466,98,尚未接洽谈判,,上海
72,,正阳世纪星城丽骏湾,上海市奉贤区正环路669弄1~18号,"121.484905,30.912844",上海正阳物业,2010.6.12,678,2,0,37869,108,尚未接洽谈判,,上海
73,,百富苑,上海市奉贤区化工小区62弄,"121.458856,30.923923",上海良友物业,2003.6.8,202,1,0,26421,90,尚未接洽谈判,,上海
74,,卓越世纪中心,上海市奉贤区望园南路269号,"121.497198,30.917846",深圳卓越物业,2012.3.15,1897,7,0,41234,108,尚未接洽谈判,,上海
75,,悦丰新苑,上海市奉贤区九华路908弄1～52号,"121.455838,30.93171",上海海尚物业,2015.6.15,956,3,0,24325,89,尚未接洽谈判,,上海
76,,锦苑花园,上海市奉贤区洪庙镇洪中路150号,"121.695023,30.929959",上海金维绑物业,1997.4.8,506,2,0,21421,89,尚未接洽谈判,,上海
77,,泰和名都,上海市奉贤区望园南路2251号,"121.489484,30.932661",上海千亿物业,2015.7.9,468,2,0,52215,90,尚未接洽谈判,,上海
78,,景怡佳苑,上海市奉贤区环城东路499号,"121.468335,30.947774",上海千亿物业,2006.5.3,453,2,0,34212,90,尚未接洽谈判,,上海
79,,景河苑,上海市奉贤区八字桥路599号,"121.46435,30.941035",上海千亿物业,2004.6.8,643,2,0,46524,75,尚未接洽谈判,,上海
80,,阳光四季园,上海市奉贤区育秀路1288弄59号,"121.456716,30.912748",上海凯凡物业,2012.9.30,875,3,0,31654,98,尚未接洽谈判,,上海
81,,红庄新苑,上海市奉贤区港极路568号,"121.728365,30.904583",上海四新物业,2016.4.1,872,3,0,25433,113,尚未接洽谈判,,上海
82,,海港新苑,上海市奉贤区新四平公路467弄,"121.743291,30.897909",上海四新物业,2016.4.2,1872,7,0,23087,90,尚未接洽谈判,,上海
83,,悦达南桥华都,上海市奉贤区望园路2509弄,"121.474857,30.97894",保华物业,2017.5.8,3312,7,0,20121,50,已接洽未签约,地下车库未交付给物业,上海
84,,悦达上海庄园,上海市奉贤区汇丰北路1288弄,"121.472468,30.975305",保华物业,2018.8.15,398,1,0,45232,230,尚未接洽谈判,未交付,上海
85,,金水新苑,上海市奉贤区金齐路348弄1-144号,"121.499234,30.959764",上海奉缘物业,2014.5.2,1843,6,0,32156,85,尚未接洽谈判,,上海
86,,金碧汇虹苑,上海市奉贤区金碧路1980号,"121.515007,30.979898",上海汇隆物业,2010.5.21,2024,6,0,32155,108,尚未接洽谈判,,上海
87,,禹州雍贤府,上海市奉贤区S123(浦星公路),"121.523407,30.979373",上海禹州物业,2018.1.3,2060,7,0,29843,89,尚未接洽谈判,,上海
88,,金碧苑,上海市奉贤区沿港河路478号,"121.51599,30.967885",上海汇隆物业,2014.5.5,621,2,0,32101,90,尚未接洽谈判,,上海
89,,绿地未来中心,上海奉贤南桥望园南路1588弄号1,"121.495815,30.921052",上海欣周物业,2016.4.6,1068,4,0,41646,108,已接洽未签约,需总部合作,上海
90,,绿地望海新都,上海市奉贤区望园南路1588弄106号,"121.497884,30.921771",上海欣周物业,"2016,4.26",602,2,0,40214,90,已接洽未签约,需总部合作,上海
91,,银河丽湾,上海市奉贤区百通路88弄1-17号,"121.499888,30.92262",上海欣周物业,2013.5.7,1242,4,0,43632,98,尚未接洽谈判,,上海
92,,中粮南桥半岛,上海市奉贤区解放东路北侧近S4跨线桥东侧,"121.491024,30.92663",中粮地产物业,2015.3.29,764,3,0,24087,75,尚未接洽谈判,,上海
93,,汇金新苑,上海市奉贤区金闸公路225弄186～215号,"121.507967,30.990368",上海汇隆物业,2012.8.3,347,1,0,23863,98,尚未接洽谈判,,上海
94,,爱马尚郡,上海市奉贤区明城路588弄1-257号,"121.568719,30.863041",上海世茂物业,"2016.5,12",1023,3,0,26976,98,已接洽未签约,公司已报备客户，,上海
95,,英伦都市,上海市奉贤区海农公路1668号,"121.57214,30.869795",上海世茂物业,2015.4.21,363,1,0,23764,90,已接洽未签约,公司已报备客户，,上海
96,,世茂爱马尚郡东区,上海市奉贤区明城路世茂海滨新城588弄258～280号,"121.570569,30.864064",上海世茂物业,"2016.5,12",1865,6,0,25643,98,已接洽未签约,公司已报备客户，,上海
97,,世茂爱马尚郡西区,上海市奉贤区明城路世茂海滨新城588弄1～257号,"121.568615,30.862677",上海世茂物业,"2016.5,12",2210,7,0,27976,98,已接洽未签约,公司已报备客户，,上海
98,,招商海延北区,上海市奉贤区人民塘路1018弄77号,"121.522212,30.834076",招商局物业,2012.5.21,206,1,0,29443,210,尚未接洽谈判,,上海
99,,圣地雅歌·海墅,上海市奉贤区人民塘路326弄53号,"121.52482,30.836571",上海复欣物业,2009.5.8,302,1,0,23211,240,尚未接洽谈判,,上海
100,,招商海延南区,上海市奉贤区人民塘路1019弄,"121.52548,30.833064",招商局物业,2012.5.21,276,1,0,29443,210,尚未接洽谈判,,上海
101,,绿地香颂,上海市奉贤区海马路5888号,"121.517853,30.832208",上海科瑞物业,2007.4.2,346,1,0,24322,210,尚未接洽谈判,,上海
102,,古城新苑,上海市金山区东平北路951,"121.329586,30.757365",上海中原物业,2015.6.30,632,2,0,20491,80,尚未接洽谈判,,上海
103,,海上纳缇,上海市金山区卫零北路881弄,"121.333003,30.758733",上海上实物业,2015.10.4,789,3,0,26443,90,尚未接洽谈判,,上海
104,,万达华府,上海市金山区龙皓路962,"121.342478,30.7612",上海万达物业,"2015,6,2",320,1,0,28454,98,尚未接洽谈判,,上海
105,,万盛金邸西区,上海市金山区蒙山北路与龙皓路交叉口,"121.341635,30.759487",上海农工商旺都物业,2014.7.8,1869,6,0,30232,89,尚未接洽谈判,,上海
106,,万盛金邸东区,上海市金山区龙轩路866号,"121.345498,30.75887",上海农工商旺都物业,2014.7.9,1497,5,0,30879,89,尚未接洽谈判,,上海
107,,湖山香颂湾,上海市金山区蒙山北路500号,"121.343883,30.754804",上海深和平物业,2016.9.30,1042,3,0,30212,85,尚未接洽谈判,,上海
108,,龙泽园东区,上海市金山区杭州湾大道与龙翔路交叉口西南150米,"121.348072,30.752941",上海申能物业,2010.10.5,1210,4,0,25689,90,尚未接洽谈判,,上海
109,,龙泽园西区,上海市金山区龙山路518号,"121.345378,30.752062",上海申能物业,2010.10.5,1010,3,0,28689,90,尚未接洽谈判,,上海
110,,赞成·红树林家园,上海市金山区卫零北路800号,"121.338518,30.756427",红树林物业,2013.4.28,1256,4,0,21042,70,尚未接洽谈判,,上海
111,,海趣馨苑,上海市金山区龙翔路1128弄,"121.340285,30.753466",上海科瑞物业,2005.5.9,902,3,0,20453,98,尚未接洽谈判,,上海
112,,水韵紫城,上海市金山区龙翔路1258弄70号,"121.335972,30.752066",上海科瑞物业,2014.11.15,690,2,0,25578,89,尚未接洽谈判,,上海
113,,君逸公馆,上海市金山区龙翔路1235号,"121.33756,30.750325",上海深和平物业,2014.5.7,504,2,0,23432,90,尚未接洽谈判,,上海
114,,金旭花园,上海市金山区金山大道2724号,"121.337773,30.743837",上海民凯物业,2013.5.8,357,1,0,21424,74,尚未接洽谈判,,上海
115,,金山世纪城,上海市金山区金山大道2335号,"121.34417,30.742355",上海求实物业,2010.5.6,2057,6,0,15033,80,已接洽未签约,,上海
116,,三岛龙洲苑,上海市金山区蒙山路1498号,"121.349964,30.740751",上海华龙企业集团物业,2005.9.12,2109,7,0,19755,90,尚未接洽谈判,,上海
117,,正荣御首府,上海市金山区龙轩路1998号,"121.325386,30.751565",上海正荣物业,2017.6.7,2014,6,0,23267,90,尚未接洽谈判,,上海
118,,金瀚园,上海市金山区板桥西路96弄,"121.353736,30.742218",上海勇博物业,2007.8.19,602,2,0,20124,80,尚未接洽谈判,,上海
119,,宝华海湾城,上海市金山区板桥东路1480弄,"121.357638,30.743479",上海安荣物业,2010.10.6,1210,4,0,29080,95,尚未接洽谈判,,上海
120,,蓝色收获西区,上海市金山区板桥东路1200弄,"121.362001,30.744484",上海勇博物业,2007.10.8,890,3,0,25303,98,尚未接洽谈判,,上海
121,,蓝色收获东区,上海市金山区板桥东路888弄,"121.365925,30.7453",上海勇博物业,2007.10.6,1102,3,0,24210,89,尚未接洽谈判,,上海
122,,招商雍华府,上海市闵行区沪光路555弄,"121.413521,31.082572",招商局物业,2010.1.1,1440,3,3,53917,94,已经安装,,上海
123,,天鸿公寓,闵行区吴中路677弄99支弄,"121.403258,31.184633",铭寰物业,2008.1.1,460,1,1,64048,100,已经安装,,上海
124,,万科公园大道,富卓路789弄,"121.387127,31.030779",上海万科物业管理有限公司,2017,1976,6,,46762,,尚未接洽谈判,,上海
125,,恒基旭辉中心,申贵路1799弄,"121.32356,31.21737",上海永升物业管理有限公司,2016,267,2,,71544,,已接洽未签约,,上海
126,,富力十号,申贵路1599弄,"121.323889,31.214738",广州天力物业发展有限公司,2016,393,2,,78033,,尚未接洽谈判,,上海
127,,万科城vcity,银春路2200弄,"121.392938,31.032503",上海万科物业管理有限公司,2016,3400,5,,43002,,尚未接洽谈判,,上海
128,,春申景城MIDTOWN,锦梅路1398弄,"121.417116,31.117016",狮城怡安（上海）物业管理有限公司,2016,1000,5,,74136,,尚未接洽谈判,,上海
129,,古北壹号,红松东路1099弄,"121.402424,31.193229",第一太平戴维斯物业管理有限公司,2015,300,2,,135422,,尚未接洽谈判,,上海
130,,金臣别墅,金光路801弄,"121.277409,31.207388",上海盈嘉物业管理有限公司,2015,89,1,,114963,,尚未接洽谈判,,上海
131,,春申复地城二期,都市路4580弄,"121.400886,31.106184",上海复瑞物业管理有限公司,2003,1000,4,,57812,,尚未接洽谈判,,上海
132,,万科时一区（一期）,申郑路18弄,"121.318687,31.210064",上海万科物业管理有限公司,2015,1050,4,,79713,,尚未接洽谈判,,上海
133,,马德里庄园,金丰路777号,"121.296456,31.206645",西郊庄园物业管理公司,2015,602,2,,66265,,尚未接洽谈判,,上海
134,,中海寰宇天下,银都路2188弄,"121.422546,31.10581",中海物业管理(上海）有限公司,2015,988,7,,69126,,已接洽未签约,,上海
135,,凤凰城,景谷中路58弄,"121.424484,31.024729",上海莘旺物业管理有限公司,2015,1640,6,,49881,,尚未接洽谈判,,上海
136,,翡冷翠园,江桃路555弄,"121.492299,31.111691",上海万科物业服务有限公司,2015,366,2,,98007,,尚未接洽谈判,,上海
137,,绿城玫瑰园,中青路1555弄,"121.35908,31.045638",绿城物业服务集团有限公司上海分公司,2015,250,1,,70950,,尚未接洽谈判,,上海
138,,旭丽花园,北松公路838弄,"121.395827,31.042133",上海环连物业管理有限公司,2015,700,3,,31226,,尚未接洽谈判,,上海
139,,城市雅筑,闵行区都市路1905号,"121.418298,31.062659",上海银桥花园物业管理有限公司,2015,800,3,,41021,,尚未接洽谈判,,上海
140,,红醍半岛,江柳路888弄,"121.492777,31.107031",上海陆家嘴物业管理有限公司,2014,250,1,,50662,,尚未接洽谈判,,上海
141,,华侨城十号院,浦驰路1628弄,"121.50228,31.10556",深圳市华侨城物业服务有限公司上海分公司,2014,64,1,,75920,,尚未接洽谈判,,上海
142,,万源城御璄,万源路987号,"121.39804,31.154637",第一太平戴维斯物业顾问（上海）有限公司,2014,668,2,,83327,,尚未接洽谈判,,上海
143,,保利茉莉公馆,浦秀路1535弄,"121.493736,31.100166",保利物业发展股份有限公司上海分公司,2014,900,5,5,61166,,已经安装,,上海
144,,浦江颐城尚院,浦泉路251弄,"121.507879,31.10389",上海金晨物业经营管理有限公司,2013,576,2,,56827,,尚未接洽谈判,,上海
145,,浦江坤庭璞御,浦秀路1386弄,"121.497757,31.098192",上海振新物业管理有限公司,2013,648,2,,54106,,尚未接洽谈判,,上海
146,,古北大成公馆,红松东路321弄,"121.410878,31.194182",上海嘉荣物业管理有限公司嘉定分公司,2013,388,2,,99013,,尚未接洽谈判,,上海
147,,一品漫城,浦星公路568弄,"121.500921,31.122122",上海春川物业管理有限公司,2013,2919,12,,58451,,已接洽未签约,,上海
148,,圣特丽墅,贵都路366弄,"121.407519,31.083324",上海东湖物业管理有限公司,2013,220,1,,43241,,尚未接洽谈判,,上海
149,,金铭文博水景,都市路2501,"121.411431,31.072623",上海鑫铭物业管理有限公司,2013,670,2,,48366,,尚未接洽谈判,,上海
150,,君莲宏润丽苑,春都路358,"121.420837,31.089849",上海祥茂物业管理有限公司,2012,1328,4,,41275,,尚未接洽谈判,,上海
151,,中景水岸,瑞丽路768弄,"121.410538,31.021707",上海峰亿物业管理有限公司,2012,124,1,,34702,,尚未接洽谈判,,上海
152,,万源城尚郡,万源路580弄,"121.404216,31.149842",上海申大物业有限公司,2012,1218,4,,85151,,尚未接洽谈判,,上海
153,,嘉怡水岸,紫龙路500弄,"121.473886,31.040364",上海联源物业发展有限公司,2012,1440,6,,43813,,尚未接洽谈判,,上海
154,,虹梅菁典,春申路1717弄,"121.436906,31.120161",上海天呈物业管理有限公司,2012,326,2,,58660,,尚未接洽谈判,,上海
155,,紫竹半岛,东川路333弄,"121.472581,31.032854",上海紫泰物业管理有限公司,2012,888,3,,58958,,尚未接洽谈判,,上海
156,,瑞丽名邸,瑞丽路528弄,"121.412186,31.017264",上海峰亿物业管理有限公司,2012,260,1,,43331,,尚未接洽谈判,,上海
157,,虹桥1号,北翟路2000弄51支弄,"121.334915,31.230045",上海采生活物业,2012,1067,3,,40867,,尚未接洽谈判,,上海
158,,中星红庐,昆阳路3299弄,"121.369699,31.052218",戴德梁行物业管理有限公司,2012,200,1,,60999,,尚未接洽谈判,,上海
159,,御涛园,茜昆路518弄,"121.358568,31.050883",家利物业管理（上海）有限公司,2012,192,1,,49683,,尚未接洽谈判,,上海
160,,万科城花新园,中春路8999弄55支弄,"121.341557,31.15954",上海万科物业服务有限公司,2012,1550,7,,64569,,尚未接洽谈判,,上海
161,,万科城市花园,七莘路3333弄,"121.349558,31.164745",上海万科物业服务有限公司,2011,1400,7,,49587,,尚未接洽谈判,,上海
162,,金汇花园,金汇路518弄,"121.381634,31.186454",上海永升物业管理有限公司,2000,250,1,,58624,,已接洽未签约,,上海
163,,虹桥晶典苑,虹梅路2838弄,"121.401113,31.185088",上海德籁物业管理有限公司,2011,180,1,,63601,,尚未接洽谈判,,上海
164,,都市富苑,都市路778弄,"121.426673,31.050169",上海叶源物业管理有限公司,2011,736,3,,42425,,尚未接洽谈判,,上海
165,,合生城邦,金平路788弄,"121.419653,31.024759",上海安华物业管理有限公司,2011,124,1,,42295,,尚未接洽谈判,,上海
166,,金秋怡云花园,运乐路288弄,"121.29168,31.213512",上海明君物业管理有限公司,2011,116,1,,57072,,尚未接洽谈判,,上海
167,,星河湾花园一期,都会路3888弄,"121.417871,31.094947",广州星河湾物业管理服务有限公司上海分公司,2011,322,1,,64350,,尚未接洽谈判,,上海
168,,都市雅筑,都市路1905弄,"121.418298,31.062659",上海金榜物业有限公司,2010,900,3,,40602,,尚未接洽谈判,,上海
169,,万科翡翠别墅（四期）,浦秀北路155弄,"121.492007,31.112397",上海万科物业服务有限公司,2010,160,1,,80725,,尚未接洽谈判,,上海
170,,复地北桥城（东区）,都市路388弄,"121.430829,31.041527",上海高地物业发展有限公司,2010,900,2,,43923,,尚未接洽谈判,,上海
171,,万源城郎君,万源路986弄,"121.402159,31.15596",上海申大物业管理有限公司,2010,821,2,,82976,,尚未接洽谈判,,上海
172,,锦梅馨苑,锦梅路1500弄,"121.416681,31.117495",上海协沁物业管理有限公司,2010,438,2,,61923,,尚未接洽谈判,,上海
173,,莲花河畔景苑,罗阳路599弄,"121.409703,31.130598",上海万科物业服务有限公司,2010,629,2,,66421,,尚未接洽谈判,,上海
174,,水清嘉苑,水清路378弄,"121.388092,31.122374",上海申联物业管理有限公司,2010,211,2,,59978,,尚未接洽谈判,,上海
175,,万源城御溪,平吉路688弄,"121.398869,31.151551",上海城开商用物业发展有限公司,2010,1218,4,,91482,,尚未接洽谈判,,上海
176,,万博家园,北华路168弄,"121.335821,31.235119",新长宁集团仙霞物业有限公司,2010,500,2,,43373,,尚未接洽谈判,,上海
177,,明泉璞院,虹秀路78弄,"121.374511,31.172123",上海瀚泰物业管理有限公司,2010,226,1,,75129,,尚未接洽谈判,,上海
178,,合生城邦（三街坊）,金平路558弄,"121.41339,31.022766",上海东慧庄原物业管理有限公司,2010,142,1,,46969,,尚未接洽谈判,,上海
179,,春申丽园一期,春申路3799弄18支弄,"121.393398,31.104983",上海忆健物业管理有限公司,2010,362,1,,54062,,尚未接洽谈判,,上海
180,,富林苑,疏影路838弄,"121.371948,31.12626",上海莘旺物业管理有限公司,2009,1000,4,,53137,,尚未接洽谈判,,上海
181,,保利佳苑,富国路39弄,"121.385582,31.025439",上海保利翰物业有限公司,2015,960,3,3,29600,,已经安装,,上海
182,,保利雅苑,银秋路1351弄,"121.37548,31.027379",上海保利翰物业有限公司,2014,1300,5,5,24800,,已经安装,,上海
