序号,楼盘ID,楼盘名称,楼盘地址（到门牌号）,经纬度,物业名称,楼盘交付时间,入住户数,预计投放点位数,实际安装点位,"房价
（元/m2）",主力户型面积,目前开发状态,需解决的问题,城市
43,,杭州新湖香格里拉,杭州市余杭区良渚镇东西大道,"120.001955,30.359361",杭州绿城物业,2010.12.31,96,0,,23184,89,,,杭州
44,,杭州新湖果岭花苑,杭州市余杭区仓前宋家山,"119.983097,30.262286",杭州绿城物业,2016,597,2,,,90,,,杭州
45,,紫荆湖滨公寓,杭州市淳安县开发路68号,"119.062398,29.600485",紫荆湖滨公寓物业管理公司,2012.12.31,1200,4,,26万/平米,89,,,杭州
46,,骏浩华庭,绍兴市柯桥区世纪路1号,"120.528162,29.996141",金鸿物业公司,2013.10.31,460,2,,22.6万/平米,120~140平米,,,杭州
47,,绿城江南里,杭州市拱墅区小河路452号,"120.144185,30.326509",杭州绿城物业,2017.10.31,76,0,,19万/平米,130,,,杭州
48,,中大吴庄,四宜路21号,"120.168045,30.242835",杭州绿城物业,,345,1,,14.7万/平米,74,,,杭州
49,,绿城云栖玫瑰园,杭州市西湖区之江路186号,"120.085186,30.177088",杭州绿城物业,2013.12.31,340,1,,14万/平米,95,,,杭州
50,,元福里,上城区清泰街625号,"120.177868,30.252239",杭州绿城物业,2015年下半年,242,1,,13.1万/平米,89,,,杭州
51,,广宇吴山鸣翠苑,四宜路3号,"120.167595,30.241194",城南房地产物业公司,,347,1,,12.7万/平米,278,,,杭州
52,,九溪玫瑰园,九溪风景区五云西路8号,"120.117961,30.190137",杭州绿城物业,2001.1.18,200,1,,12.3万/平米,89,,,杭州
53,,武林壹号,拱墅区湖墅南路66号,"120.164978,30.283895",滨江物业管理公司,2017.5.16,872,3,,10.3万/平米,89,,,杭州
54,,桂花城,西湖区文二西路458号,"120.102076,30.28886",杭州绿城物业,,1153,4,,9.9万/平米,,,,杭州
55,,西湖花苑,环城西路18号,"120.164869,30.267012",众安物业,,80,0,,9.6万/平米,132,,,杭州
56,,云栖碟谷,之江路138号,"120.085184,30.173081",杭州绿城物业,,103,0,,9.4万/平米,,,,杭州
57,,吴山名苑,上城区劳动路28号,"120.169383,30.247876",众安物业,,140,0,,9.3万/平米,100,,,杭州
58,,嘉禾苑, 嘉禾里26号,"120.169773,30.24946",嘉园房地产开发有限公司,2001.8.30,112,0,,9.1万/平米,145,,,杭州
59,,广宇元华公寓,上城区柳营路22号,"120.169173,30.254748",卓盛物业管理有限公司,,224,1,,9.1万/平米,89,,,杭州
60,,滨江阳光海岸,之江路与甬江路交叉口,"120.199797,30.228425",滨江物业管理公司,2010年下半年,203,1,,8.8万/平米,89,,,杭州
61,,月桂花园,文三西路179号,"120.110768,30.281601",杭州绿城物业,,560,2,,8.8万/平米,138,,,杭州
62,,广宇湖滨公寓,上城 开元路与柳营路交叉口,"120.168798,30.254017",卓盛物业管理有限公司,,700,2,,8.7万/平米,,,,杭州
63,,林语别墅,西湖区文二西路688号,"120.097293,30.288725",南都物业,,168,1,,8.7万/平米,,,,杭州
64,,西湖美庐公馆,西湖区之北路8号,"120.101518,30.177172",杭州绿城物业,2016年,112,0,,8.6万/平米,197㎡~255㎡,,,杭州
65,,阳明谷度假村,西湖区常陇路6号 ,"120.090969,30.171793",景瑞物业,2018.4.30,220,1,,8.6万/平米,300~500平米,,,杭州
66,,宋城地中海别墅,萧山区湘湖旅游度假区内风情大道与湘湖交叉口,"120.24864,30.162413",上海高力国际物业有限公司,,234,1,,8.4万/平米,,,,杭州
67,,西湖捌号公馆,上城区河坊街439号,"120.167905,30.244568",杭州绿城物业,,118,0,,8.3万/平米,,,,杭州
68,,武林外滩,下城区文晖路338号,"120.167908,30.288054",高力国际,2016.5,374,1,,8.3万/平米,42~290平米,,,杭州
69,,钱塘帝景,滨江浦沿街道信诚路817号（信诚路与滨盛路交叉口）,"120.175836,30.198505",启胜物业管理服务有限公司,2013.12.1,343,1,,8.1万/平米,89~178平米,,,杭州
70,,绿城蓝色钱江,之江路与望江东路交叉口,"120.202197,30.229946",杭州绿城物业,2013.6,846,3,,8万/平米,,,,杭州
71,,耀华湖滨阁,下城区孝丰路19号,"120.164596,30.271109",凤起物业管理有限公司,2009.1,112,0,,7.9万/平米,,,,杭州
72,,日晖新村,莫干山路349号,"120.153913,30.289434",和梦物管,,415,1,,7.9万/平米,,,,杭州
73,,桂花城紫云苑,西湖区紫荆花路69,"120.098237,30.28887",杭州绿城物业,,47,0,,7.9万/平米,,,,杭州
74,,玉苑别墅,西湖区玉皇山路73-2号,"120.160302,30.228572",杭州绿城物业,,99,0,,7.8万/平米,,,,杭州
75,,绿城兰园,环城北路57号,"120.191679,30.279359",杭州绿城物业,2015.9.30,260,1,,7.7万/平米,90平米,,,杭州
76,,赛丽绿城丽园,上城 江城路与上仓桥路交叉口,"120.178494,30.234326",杭州绿城物业,2012.12.31,520,2,,7.6万/平米,,,,杭州
77,,文锦苑,西湖 文三路108号,"120.150698,30.285636",浙江坤元物业管理有限公司,2001.12.30,222,1,,7.6万/平米,,,,杭州
78,,国都崇文公寓,马腾路36号,,浙江国都房产集团有限公司,2006.9.30,212,1,,7.6万/平米,,,,杭州
79,,万科大都会79号,杭州市江干区钱江新城之江运河隧道运河东路出口,"120.236654,30.272688",万科物业管理公司,2018.5.20,328,1,,7.5万/平米,,,,杭州
80,,世贸丽晶城,天目山路150号,"120.144788,30.280008",浙江丽晶城物管,,1267,4,,7.4万/平米,,,,杭州
81,,世纪西溪别墅,西湖区文三西路658号,"120.099634,30.283126",杭州绿城物业,,130,0,,7.3万/平米,,,,杭州
82,,滨江钱塘艺墅,复兴路与之江路路交汇处东侧,"120.156302,30.208173",滨江物业,,360,1,,7.2万,,,,杭州
83,,金隅学府,上城南星秋涛路,"120.187709,30.229667",南都物业,2018,555,2,,7.3万/平米,89,,,杭州
84,,西溪诚园知敬苑,紫霞街近崇信路,"120.088973,30.297071",杭州绿城物业,2013,2300,8,,7.3万/平米,113,,,杭州
85,,望江府,闻潮路280号,"120.195695,30.234661",杭州绿城物业,2015,480,2,,7.3万/平米,89,,,杭州
86,,马腾路11号小区,西湖文三街马塍路11号,"120.153904,30.281911",业主自管,1998,900,3,,7.3万/平米,,,,杭州
87,,西溪河东,西湖学军西溪河东3-4号,"120.147736,30.28515",居委会代管,1984,546,2,,7.2万/平,70,,,杭州
88,,马塍路34号小区,马塍路34号,"120.153554,30.28426",自有物业,1990,390,1,,7.2万/平,,,,杭州
89,,安定名都,上城吴山西湖大道197号,"120.174533,30.251088",杭州信宇物业,2005,393,1,,7.2万/平,198,,,杭州
90,,保淑花园,西湖九莲保叔北路57号,"119.700279,30.240459",西溪街道办事处,1997,186,1,,7.2万/平,57,,,杭州
91,,宝石一路2号小区,宝石一路2号,"120.154636,30.270145",业主自管,,300,1,,7.1万/平,,,,杭州
92,,雅戈尔御西湖,西湖学院路216号,"120.137071,30.291692",雅戈尔物业,2013,700,2,,7.1万/平,153,,,杭州
93,,万象城悦府,江干钱江新城富春路701号,"120.223179,30.259211",新鸿基物业,2010,654,2,,7.1万/平,197,,,杭州
94,,耀江广厦公寓,上城区延安路126号,,浙江省耀江房地产开发有限公司,2001.2.1,526,2,,7万,,,,杭州
95,,杭州绿园,西湖 黄龙洞求是路玉古路口,30.265270，120.128910,杭州绿城物业,2003.9.1,1182,4,,7万,,,,杭州
96,,名珏公寓,东坡路23号-29号,30.254790，120.162680,杭州市新基业物业管理有限公司,,392,1,,7万,,,,杭州
97,,滨江金色海岸,杭州市上城区富春路6号,30.219560，120.185430,戴德梁行,2008.5,802,3,,7万,,,,杭州
98,,新绿园,鲲鹏路97号,30.223420，120.191830,杭州绿城物业,2010.6,618,2,,7万,,,,杭州
99,,吴山人家,上城区劳动路65号,30.245220，120.165970,镜湖物业,,162,1,,6.9万,,,,杭州
100,,滨江钱塘印象,钱江新城核心居住区东临甬江路西至候潮路南至富春路,30.222630，120.186410,滨江物业,2016.12.30,422,1,,6.9万,166~185平米,,,杭州
101,,西湖高尔夫别墅,杭州市西湖区之江路200号,30.173930，120.061466,西湖高尔夫别墅物业管理有限公司,,75,0,,6.8万,,,,杭州
102,,滨江保利翡翠海岸,近江路与秋涛路交叉口东南面,30.237300，120.193960,杭州滨江物业管理有限公司,,741,2,,6.8万,129~212平米,,,杭州
103,,信达滨江壹品,杭州市上城区钱江路和甬江路交叉口,30.227480，120.187040,杭州滨江物业管理有限公司,2019.12.31,543,2,,6.8万,138~142平米,,,杭州
104,,滨江凯旋门,江干区凯旋路126号,30.256240，120.190830,杭州滨江物业管理有限公司,2014,980,3,,6.8万,,,,杭州
105,,耀江文鼎苑,西湖区萍水西街193号,30.296540，120.094500,浙江耀江物业管理有限公司,,3539,12,,6.7万,,,,杭州
106,,新湖武林国际,环城北路167号,30.274020，120.174890,新湖绿城物业,2014.12.31,400,1,,6.6万,87~192平米,,,杭州
107,,运河宸园,杭州市拱墅区杭印路11号,30.315140，120.134980,杭州绿城物业,2016.12.31,912,3,,6.5万,89平米,,,杭州
108,,水岸枫庭,甬江路与之江大道交叉口,30.222100，120.189920,浙江雪峰物业服务有限公司,,812,3,,6.5万,,,,杭州
109,,融创大家侯潮府,钱江路候潮路交叉口,30.225060，120.183860,杭州绿城物业,2018.10.31,545,2,,6.5万,118~139平米,,,杭州
110,,东方润园,钱潮路9号,30.253910，120.222490,南都物业管理有限公司,2008.12.31,697,2,,6.4万,,,,杭州
111,,滨江城市之星,城星路与钱江路交界处,30.241010，120.204030,杭州新时代物业管理有限公司,2014.6.30,498,2,,6.3万,,,,杭州
112,,大家武林府,朝晖路与中河北路交叉口西北角,30.278740，120.168530,杭州大家物业经营管理有限公司,2013.5.31,421,1,,6.3万/平米,"193,281平米",,,杭州
113,,金祝花园,西湖区金祝北路1号,30.269870，120.151880,杭州西房物业管理有限公司,,153,1,,6.2万/平米,,,,杭州
114,,新西湖花园,之江路198号,30.173660，120.072390,杭州广东中奥物业有限公司,,390,1,,6.2万/平米,170~272平米,,,杭州
115,,庆春御府,江干庆春东路和庆菱路交叉口西南侧,30.256940，120.192240,杭州绿城物业,2015.6,660,2,,6.2万/平米,,,,杭州
116,,钱江御府,侯潮路与秋涛路交叉口东北角,30.226130，120.182420,浙江南都物业管理有限公司,2017,557,2,,6.1万/平米,139平米,,,杭州
117,,顺发恒园,建设二路与金鸡路交汇处,30.200770，120.253370,浙江纳德物业服务有限公司,2016,1009,3,,6.1万/平米,86，86，89平米，,,,杭州
118,,绿城九龙仓柳岸晓风,滨江闻涛路与平乐路交叉口,30.199100，120.179740,杭州绿城物业,2019.9.30,374,1,,6.1万/平米,"184,219，160平米，",,,杭州
119,,贺田尚城,滨江区六和路365号,30.181870，120.136300,杭州国都物业管理有限公司,2006.3.1,1308,4,,6.1万/平米,,,,杭州
120,,万科大家钱塘府,昙花庵路与水湘路交叉口,30.271020，120.217180,万科物业管理公司,2016.12.31,1309,4,,6.1万/平米,89平米,,,杭州
121,,华浙银马公寓,西湖 教工路与文一路交叉口东南侧,,华浙物业管理公司,2008.2,778,3,,6万/平米,,,,杭州
122,,金成花园,西湖区竞舟路220号,30.283860，120.105770,金成物业管理公司,,1012,3,,6万/平米,,,,杭州
123,,圣苑小区, 古墩路675号,,耀江物业,,1512,5,,6万/平米,,,,杭州
124,,名门世家,萧山区晨晖路1599号,30.138540，120.276200,杭州绿城物业,2014.12.30,1352,5,,6万/平米,"90,272,298平米",,,杭州
125,,冠苑小区,西湖紫金港古墩路595号,30.296450，120.096650,浙江省直同人物业,2004,560,2,,6万/平米,130,,,杭州
126,,远洋公馆,拱墅拱宸桥大衍街99号,30.309000，120.144740,远洋物业,2012,1300,4,,6万/平米,74,,,杭州
127,,武林花园,西湖文三街天目山路112号,30.273490，120.148710,杭州润宇物业,1998,352,1,,6万/平米,95,,,杭州
128,,绿城蔚蓝公寓,江干景芳凤起东路,30.264260，120.205220,绿城物业,2010,600,2,,6万/平米,89,,,杭州
129,,滨江华家池,江干南肖埠艮山西路81号,30.273960，120.192610,滨江物业,2017,780,3,,5.9万/平米,278,,,杭州
130,,九龙仓君玺,下城朝晖东新路21号,30.284230，120.175810,九龙仓物业,2016,526,2,,5.9万/平米,89,,,杭州
131,,罗马公寓,西湖松木场体育场路460号,30.270680，120.154090,杭州利兹物业,2003,141,0,,5.9万/平米,122,,,杭州
132,,融信杭州公馆,西湖文教学院路300号,30.292170，120.130360,融信物业,2017,540,2,,5.9万/平米,89,,,杭州
133,,国都公寓,下城庆春凤起路361号,30.188750，120.162331,浙江华太物业,2003,600,2,,5.9万/平米,140,,,杭州
134,,国信嘉园,滨江彩虹城伟业路,30.188750，120.162330,浙江省浙信房产,2006,890,3,,5.9万/平米,,,,杭州
135,,保利香槟国际,拱墅申花人文路116号,30.308500，120.110520,保利物业,2013,400,1,,5.9万/平米,132,,,杭州
136,,绿城明月江南（西区）,滨江滨江区政府共联路,30.206700，120.224300,绿城物业,2013,550,2,,5.9万/平米,,,,杭州
137,,耀江文欣苑,西湖九莲文二路207号,30.282310，120.137110,浙江耀江物业管理有限公司,2002,537,2,,5.9万/平米,100,,,杭州
138,,林风花园沁林苑,上城南星闻潮路168号,30.226640，120.190960,赞成物业,2007,450,2,,5.8万/平米,145,,,杭州
139,,钱江水晶城,滨江彩虹城滨盛路4402号,30.191870，120.166640,杭州彩虹物业,2008,1600,5,,5.8万/平米,89,,,杭州
140,,绿城明月江南（东区）,滨江滨江区政府西兴路,30.207320，120.227250,绿城物业,2013,1498,5,,5.8万/平米,89,,,杭州
141,,发展今日嘉园,西湖文教文一路192号,30.289370，120.133150,浙江华太物业,2006,374,1,,5.8万/平米,138,,,杭州
142,,紫玉公馆,江干南肖埠凯旋路359号,30.269770，120.190700,紫园物业,2010,687,2,,5.8万/平米,,,,杭州
143,,仙林苑北区,下城庆春二圣庙前60号,30.263090，120.169350,杭州新时代物业管理有限公司,2002,1544,5,,5.8万/平米,100,,,杭州
144,,景瑞天赋,萧山 彩虹城杨帆路,30.219605，120.244756,上海景瑞物业,,880,3,,5.8万/平米,,,,杭州
145,,白马公寓,拱墅湖墅密渡桥路2号,30.275450，120.159450,绿城物业,2000,1440,5,,5.8万/平米,,,,杭州
146,,阳光城檀悦,萧山钱江世纪城杨帆路,30.219720，120.247550,阳光城物业,,1102,4,,5.8万/平米,,,,杭州
147,,四宜路小区,上城四宜路,30.235198，120.161916,清波街道,1998,200,1,,5.8万/平,,,,杭州
148,,春江名苑,上城南星富春路,30.227060，120.192090,杭州赞成物业,2007,765,3,,5.8万/平,116,,,杭州
149,,仙林苑南区,下城庆春中山北路142号,30.259990，120.170320,新时代物业,2000,888,3,,5.8万/平,,,,杭州
150,,凤起桥河下小区,下城吴林凤起路,30.265684，120.160873,江山弄社区管理,1990,790,3,,5.8万/平,,,,杭州
151,,茶叶弄3号小区,下城吴林茶叶弄3号,30.264810，120.166570,天水街道,1987,84,0,,5.8万/平,,,,杭州
152,,融创河滨之城水澜轩,西湖紫金港五常港路,30.298677，120.064186,绿城物业,2016,3485,12,,5.8万/平,89,,,杭州
153,,马井巷小区,上城湖滨西湖大道,30.246390，120.165080,业主自管,1995,999,3,,5.8万/平,,,,杭州
154,,中山中路380号小区,上城湖滨中山中路380号,30.252990，120.170300,业主自管,,450,2,,5.8万/平,,,,杭州
155,,德信臻园,拱墅桥西小河路,30.325050，120.135780,浙江盛全物业,2013,300,1,,5.8万/平,255,,,杭州
156,,梧桐公寓,西湖学院路258号,30.286650，120.130270,绿城物业,2006,405,1,,5.8万/平,113,,,杭州
157,,中南白马湖壹号,萧山湘湖闻堰时代大道,30.146820，120.184210,绿城物业,2017,546,2,,5.8万/平,208,,,杭州
158,,顺发和美家,萧山钱江世纪城市心北路785号,30.229000，120.264030,纳德物业,2012,450,2,,5.7万/平,89,,,杭州
159,,远洋大河宸章,拱墅桥西小河路455号,30.319730，120.135560,北京远洋基业物业,2013,700,2,,5.7万/平,90,,,杭州
160,,康都紫轩,上城南星甬江路191号,30.228060，120.183260,浙江赞成物业,2011年,319,1,,5.7万/平,138,,,杭州
161,,丽景西苑,下城长庆东清巷76号,30.262260，120.179120,王马社区居委会,2000,176,1,,5.7万/平,134,,,杭州
162,,紫桂花园,西湖竞舟文二西路268号,30.282800，120.103600,绿城物业,2002,1120,4,,5.7万/平,135,,,杭州
163,,林风花园映水苑,上城南星闻潮路256号,30.227700，120.189970,杭州厦安物业,2008,890,3,,5.7万/平,138,,,杭州
164,,瑞丰格林苑,上城小营老浙大横路27号,30.253570，120.184500,杭州中铁杭萧,2004,279,1,,5.7万/平,,,,杭州
165,,龙湖春江俪城,滨江滨江区政府江汉路1337号,30.198340，120.204850,龙湖物业,2017,1102,4,,5.7万/平,89,,,杭州
166,,滨江金色家园,上城南星富春路16号,30.221360，120.184610,滨江物业,2008,840,3,,5.7万/平,104,,,杭州
167,,西城美墅,西湖紫金港申花路386号,30.311390，120.100460,杭州广宇物业,2010,709,2,,5.6万/平,80,,,杭州
168,,泰禾杭州院子,余杭未来科技城文二西路,30.272410，120.034220,泰禾物业,,780,3,,5.6万/平,155,,,杭州
169,,上岛公馆,拱墅长岛霞湾路38号,30.295940，120.150600,绿城物业,2012,1100,4,,5.6万/平,,,,杭州
170,,华都兰庭国际,西湖文教文二路128号,30.283450，120.139730,杭州高盛物业,2008,560,2,,5.6万/平,,,,杭州
171,,广宇西城年华,西湖紫金港申花路388号,30.309460，120.101190,杭州广宇物业,2007,1594,5,,5.6万/平,,,,杭州
172,,青春都市公寓,江干南肖埠绿景路28号,30.259750，120.199600,杭州信宇物业,2005,196,1,,5.6万/平,107,,,杭州
173,,南肖埠御景园,江干南肖埠太平门直街216号,30.259900，120.198430,杭州滨江物业,2004,780,3,,5.6万/平,90,,,杭州
174,,赛丽绿城慧园,拱墅申花丰潭路,30.306810，120.106180,绿城物业,2014,250,1,,5.6万/平,,,,杭州
175,,滨江金色蓝庭,西湖世纪新城文一西路18号,30.288460，120.116990,滨江物业,2008,700,2,,5.6万/平,89,,,杭州
176,,桂花城（公寓）,西湖桂花城文二西路458号,30.396002，120.263496,绿城物业,2000,1153,4,,5.6万/平,133,,,杭州
177,,绿城桃花源南区,余杭中泰东西大道,30.235870，119.947590,绿城物业,2015,320,1,,5.6万/平,67,,,杭州
178,,钱江水晶澜轩,滨江彩虹城火炬大道,30.192680，120.166390,杭州彩虹物业,2014,256,1,,5.6万/平,330,,,杭州
179,,钱江四苑西区,江干钱江新城顺福路,30.260090，120.212430,众恒物业,2000,554,2,,5.6万/平,,,,杭州
180,,远洋公馆绿园,拱墅拱宸桥大衍街101号,30.308320，120.141620,绿城物业,2015,430,1,,5.6万/平,,,,杭州
181,,海威新界,滨江滨江区政府物联网街330号,30.210550，120.225830,滨江物业,,650,2,,5.6万/平,,,,杭州
182,,鼓楼花园,上城鼓楼中河南路78号,30.236680，120.172610,现代物业,1998,320,1,,5.6万/平,,,,杭州
183,,九龙仓珑玺,拱墅申花莫干山路,30.311230，120.116160,无锡九龙仓物业,,880,3,,5.6万/平,89,,,杭州
184,,湘湖壹号,萧山湘湖闻堰湘湖路3001号,30.121800，120.194520,滨江物业,2013,565,2,,5.6万/平,500,,,杭州
185,,名城燕园（别墅）,拱墅和睦和盛街25号,30.275670，120.093440,南京名城物业,2010,880,3,,5.5万/平,,,,杭州
186,,盛世钱塘,江干钱江新城富春路899号,30.259200，120.222250,浙江华太物业,2007,550,2,,5.5万/平,147,,,杭州
187,,文亭公寓,西湖文教教工路197号,30.289900，120.133970,和安物业,1996,510,2,,5.5万/平,,,,杭州
188,,星洲花园南区,西湖桂花城古墩路,30.289660，120.095990,浙江华盛物业,2002,508,2,,5.5万/平,,,,杭州
189,,皇亲苑,下城吴林凤起路380号,30.265460，120.165540,皇亲苑社区管委会,1995,1336,4,,5.5万/平,91,,,杭州
190,,金基晓庐,江干钱江新城钱潮路68号,30.258020，120.219480,浙江华太物业,2009,765,3,,5.5万/平,,,,杭州
191,,杭州新湖果岭花苑,"拱墅-桥西-后横港路,近桥弄街",30.256360，119.976020,无锡九龙仓物业,2014,600,2,,55141,131,,,杭州
192,,皇亲苑,下城-武林-凤起路380号,30.265460，120.165540,皇亲苑社区居委会,1995,1336,4,,55072,108,,,杭州
193,,镜瑞弄社区,下城-庆春-麒麟街28号,30.263700，120.166560,武林街道,1992,328,1,,55000,50,,,杭州
194,,菩提寺路10号小区,上城-湖滨-菩提寺路10号,30.257670，120.165070,杭州绿城物业,,540,2,,55000,72,,,杭州
195,,桂花园,滨江北路56号,30.275460，120.098280,杭州绿城物业,,650,2,,54989,,,,杭州
196,,新城国际花园和园,江干-钱江新城-庆和路55号,30.254530，120.219103,绿城物业,2007,440,1,,54956,,,,杭州
197,,吴牙巷小区,下城-长庆-青春路,30.259460，120.175670,长庆街道,1989,765,3,,54903,,,,杭州
198,,石灰桥新村,西湖-文教-莫干山路,30.285980，120.144300,石灰桥新村管理处,1984,1312,4,,54894,58,,,杭州
199,,顺发美哉美城,"萧山-钱江世纪城-民和路,近飞虹路",30.224230，120.255730,浙江纳德物业,2017,664,2,,54878,97,,,杭州
200,,沿山河村,西湖-黄龙-保俶路201号,30.270130，120.145330,社区居委会,1980,356,1,,54857,45,,,杭州
201,,西溪路65号小区,西湖-黄龙-西溪路65号,30.268880，120.144620,杭州绿城物业,,540,2,,54718,,,,杭州
202,,阳光地带花园,西湖-桂花城-紫荆花路311号,30.287860，120.092160,杭州品尚物业,2003,496,2,,54807,108,,,杭州
