序号,楼盘ID,楼盘名称,楼盘地址（到门牌号）,经纬度,物业名称,楼盘交付时间,入住户数,预计投放点位数,实际安装点位,"房价
（元/m2）",主力户型面积,目前开发状态,需解决的问题,城市
28,,金骏大厦,广州市天河区珠江新城马场路535号,"113.342514,23.127889",广州百嘉和物业管理发展有限公司金骏大厦物业服务中心,1999/5/1,120,0,,100000,87-88,待进一步洽谈,,广州
29,,利雅湾,广州市珠江新城兴民路170号二路,"113.328942,23.116355",港联物业（广州）有限公司,2011/6/23,806,3,,100000,87-88,待进一步洽谈,,广州
30,,方圆小院,广州市天河区天府路11号之一,"113.367814,23.132773",广州方圆现代生活服务股份有限公司,2010/1/1,900,3,,100000,87-88,待进一步洽谈，已扫盘,,广州
31,,方圆月岛,广州市天河区兴国路27号之二,"113.336539,23.125146",广州方圆现代生活服务股份有限公司,2010/7/1,1380,5,,100000,87-88,待进一步洽谈，已扫盘,,广州
32,,心语花园,广州市天河区兴盛路9号,"113.330094,23.121845",广州保利城物业管理有限公司,2010/2/1,1872,6,,100000,87-88,待进一步洽谈,,广州
33,,保利心语,广州市天河区金穗路70号,"113.330094,23.121845",广州保利城物业管理有限公司,2010/1/1,1500,5,,100000,87-88,待进一步洽谈,,广州
34,,香槟花园,广州市天河区珠江新城华利路46-62号,"113.317448,23.117228",广州保利城物业管理有限公司,2015/3/18,609,2,,100000,87-88,待进一步洽谈,,广州
35,,保利香槟,广州市天河区华利路2-68号,"113.317448,23.117228",广州保利城物业管理有限公司,2010/1/1,1000,3,,100000,87-88,待进一步洽谈,,广州
36,,穗园小区,广州市天河区龙口西路551号穗园小区A座,"113.338299,23.144754",穗园物业管理公司,2002/1/1,3489,12,,90000,87-88,待洽谈,,广州
37,,华天国际广场,龙口中路173号,"113.342251,23.140076",广州中信厚德物业管理有限公司,2009/1/1,600,2,,90000,87-88,待洽谈,,广州
38,,华标广场荟芳阁,广州市天河区龙口东路329号,"113.338737,23.147147",广州中凡物业管理有限公司_,2002/3/1,240,1,,90000,87-88,待洽谈,,广州
39,,金海花园,广东省广州市天河区天河北路614号,"113.33814,23.140601",广州粤华物业有限公司,2015/4/23,2000,7,,90000,87-88,待洽谈,,广州
40,,恒康阁,林和西路121号,"113.322980,23.146180",广州文军物业管理有限公司,2017/5/16,350,1,,90000,87-88,待洽谈,,广州
41,,天河北商住楼,龙口西路363-369号,"113.333819,23.132604",广州穗华物业管理有限公司,1996/5/1,258,1,,90000,87-88,待洽谈,,广州
42,,远东大厦西座,天河北路林和街230号,"113.33062,23.14278",广州市三原物业管理有限公司,2010/1/1,800,3,,90000,87-88,待洽谈,,广州
43,,远东大厦东座,天河北路林和街232号,"113.331079,23.142796",广州市三原物业管理有限公司,2010/1/1,800,3,,90000,87-88,待洽谈,,广州
44,,紫荆小区,紫荆小区2天河区林和东路143号,"13.334658,23.150348",广州市容大物业有限公司,1996/1/1,1000,3,,90000,87-88,待洽谈,,广州
45,,天逸大厦,天逸大厦天河区龙口中路152号,"113.339632,23.139283",广州市嘉逸酒店管理集团有限公司,2004/1/1,432,1,,90000,80-100,待进一步洽谈,,广州
46,,龙口花苑,龙口西路龙腾街16号首层街道,"113.341818,23.145629",广州市嘉逸酒店管理集团有限公司,2009/1/2,410,1,,90000,80-100,待进一步洽谈,,广州
47,,宝翠园,宝翠路4-6号,"113.364523,23.188985",广州市创浚物业管理有限公司宝翠园分公司,2017/1/1,980,3,,90000,87-88,待洽谈,,广州
48,,宝翠园小区,广州市天河区宝翠路4-6号宝翠园,"113.362631,23.191293",广州市创浚物业管理有限公司宝翠园分公司,2015/2/1,600,2,,90000,87-88,待洽谈,,广州
50,,伊顿,广东省广州市天河区龙口西路236号,"113.336726,23.138498",广州市城启物业管理有限公司,2003/10/1,860,3,,90000,87-88,待进一步洽谈，已扫盘,,广州
51,,南国公馆,江新城海乐路11号,"113.344353,23.131542",广州瑞华物业管理有限公司,2014/1/1,500,2,,90000,87-88,待进一步洽谈，已扫盘,,广州
52,,南国花园,平月路,"113.344076;,23.115476",广州瑞华物业管理有限公司,2002/10/1,1800,6,,90000,87-88,待进一步洽谈，已扫盘,,广州
53,,林和村,广州市天河区林和中路171号,"13.333331,23.154398",广州林荣物业管理有限公司,2014/1/1,2400,8,,90000,87-88,待进一步洽谈,,广州
54,,城管大厦,翠园街2号,"113.358940,23.134601",广州君营物业管理有限公司,1998/1/1,200,1,,90000,87-88,待洽谈,,广州
57,,翠苑小区,天河区翠园街30-36号翠苑小区,"113.358571,23.135847",广州君营物业管理有限公司,2003/1/1,400,1,,90000,87-88,待洽谈,,广州
58,,翠芯小区,翠华街89号,"113.354716,23.130619",广州君营物业管理有限公司,2010/1/1,800,3,,90000,87-88,待洽谈,,广州
59,,翠雅小区,翠华街111号,"113.354445,23.131190",广州君营物业管理有限公司,2010/1/1,600,2,,90000,87-88,待洽谈,,广州
60,,力迅,翠湖街17号,"113.359698,23.132238",广州嘉邦酒店物业服务有限公司天河第一分公司,2013/1/1,208,1,,90000,87-88,待洽谈,,广州
61,,铭泰T公馆,翠湖街17号,"113.353030,23.125440",广州丰旭投资管理有限公司,2017/7/14,300,1,,90000,87-88,待洽谈,,广州
63,,泊雅湾,艺苑路（新领事馆区?赤岗塔北50米）,113.329541;23.109288,广州东华物业管理有限公司,2002/1/1,426,1,,90000,77-121m2,待洽谈,,广州
64,,嘉尚国际公寓,天河区林和东路沾益直街89、91、93号,"113.336872,23.152351",广州德高物业管理有限公司,2011/1/1,524,2,,90000,87-88,待洽谈,,广州
65,,边防天河大院,天河北路143号边防天河大院,"113.325315,23.138785",广州丛高建筑安装工程有限公司,1997/1/1,500,2,,90000,87-88,待洽谈,,广州
66,,绿庭苑,天河北路96号绿庭苑,"113.319353,23.139791",广州城建开发物业管理有限公司,1998/2/1,300,1,,90000,87-88,已入柜,,广州
67,,鸿景园,广州市天河区龙口东路366-368号,"113.341079,23.143667",广东康景物业服务有限公司 ,1999/1/1,436,1,,90000,87-88,待进一步洽谈,,广州
68,,合生紫龙府,广东省广州市海珠区艺洲路602号合生紫龙府,113.331859;23.100848,广东康景物业服务有限公司 ,2014/12/1,720,2,,90000,145-235m2,待进一步洽谈,,广州
69,,帝景苑,龙口西路338号,"113.336575,23.140419",广东康景物业服务有限公司 ,2004/3/15,600,2,,90000,87-88,待进一步洽谈,,广州
70,,海棠阁,林和东路122-124号,"113.328787,23.144823",广东广信物业管理公司,1997/6/9,240,1,,90000,87-88,待洽谈,,广州
71,,保利天悦公寓,"广州保利天悦/新港东路（万胜围地铁D出口）	",113.379709；23.102368,广州保利城物业管理有限公司,2015/1/1,1500,5,,90000,87-121m2,待进一步洽谈,,广州
72,,天隆花苑,广州市天河区龙口西路577号天隆花苑,"113.343307,23.152176", 广东冠雄物业管理有限公司,1997/7/1,700,2,,90000,87-88,待洽谈,,广州
73,,君汇世家（上誉花园）,天河路45号,113.308074;23.136847,广州天伦物业管理有限公司,2010/1/1,810,2,,88000,131m2,待洽谈,,广州
74,,凯旋会,广州大道中明月一路11-23号凯旋会,113.319382;23.119442,广州市景兴物业管理有限公司,2005/7/1,495,1,,85000,88-134m2,待洽谈,,广州
75,,天汇公馆,黄埔大道中182号,"113.356795,23.129784",广州珠江物业酒店管理有限公司珠江新城分公司,2016/12/1,700,2,,80000,87-88,待进一步洽谈,,广州
76,,御景雅苑,天府路7号御景雅苑,"113.360507,23.127054",广州珠光物业管理有限公司,2014/1/1,500,2,,80000,87-88,待洽谈,,广州
77,,漾晴居,广州市天河区华明路21号,113.317685;23.122837,广州越秀物业发展有限公司 ,2001,400,1,1,80000,97m2,已入柜,,广州
78,,珠光新城国际,"广州市天河区马场路庆亿街3号	","113.349336,23.124257",广州悦华物业管理有限公司,2012/1/1,1000,3,,80000,87-88,待洽谈,,广州
79,,杨箕小区,广州市黄埔大道西路10号杨箕小区,"113.317254,23.128082",广州悦华物业管理有限公司,1996/1/1,410,1,,80000,87-88,待洽谈,,广州
80,,WOW WAY公寓,黄埔大道中员村山顶白马岗街21号艾琳大楼,"113.357403,23.123188",广州友和公寓管理有限公司,2016/12/23,300,1,,80000,87-88,待洽谈,,广州
81,,城建大厦,广东省广州市天河区体育西路189号,"113.320803,23.139193",广州怡城物业管理有限公司,1998,300,1,2,80000,126m2,已入柜,,广州
82,,富力盈泽苑,较场东路19-99号,113.285086;23.124011,广州天力物业发展有限公司,2003/8/1,680,2,,80000,102m2,待进一步洽谈,,广州
83,,东璟花园,黄埔大道南员村二横路1号,"113.361530,23.122564",广州市至安物业管理有限公司,2004/1/1,836,3,,80000,87-88,待洽谈,,广州
84,,白马岗综合楼,白马岗综合楼天河区黄埔大道中166号,"113.362695,23.128454",广州市瑞博物业管理有限公司,2000/1/1,200,1,,80000,87-88,待进一步洽谈,,广州
85,,天顺跃居,广东省广州市天河区黄埔大道中131-135号天顺跃居,"113.362478,23.130792",广州市祈顺物业管理有限公司,2007/1/1,150,1,,80000,87-88,待洽谈,,广州
86,,瑜翠园,广州市天河区荟龙路14号之三瑜翠园,"113.299792,23.080703",广州市宁骏物业管理有限公司,2008,1000,5,,80000,80-100,合同走流程 ,,广州
87,,华景公安宿舍,广东省广州市天河区华景西街14号公安宿舍,"113.362769,23.141385",广州市金洹物业管理有限公司,2001/4/1,320,1,,80000,87-88,待洽谈,,广州
88,,新陶苑小区 ,新陶苑小区广州市天河区石牌东路新陶大街新陶苑5号,"113.350266,23.134559",广州市金点物业管理有限公司,1994/1/1,1780,6,,80000,87-88,待进一步洽谈,,广州
89,,南雅苑小区,南雅苑小区广州市天河区体育东横街22号107房,"113.339113,23.134069",广州市金点物业管理有限公司,1995/1/1,1500,5,,80000,87-88,待进一步洽谈,,广州
90,,伟城广场,广州市天河区黄埔大道中205号,"113.373682,23.127942",广州市嘉逸酒店管理集团有限公司,1995/7/1,756,3,,80000,80-100,待进一步洽谈,,广州
91,,福金莲花园,天河区黄埔大道124,"113.360303,23.130152",广州市嘉逸酒店管理集团有限公司,1999/12/1,472,2,,80000,80-100,待进一步洽谈,,广州
92,,易丰大厦,黄埔大道中翠园街8号之二,"113.352284,23.129086",广州市嘉逸酒店管理集团有限公司,2010/1/1,800,3,,80000,80-100,待进一步洽谈,,广州
93,,丰乐苑,广州市天河区平云路潭乐街102-120号,"113.358214,23.122209",广州市嘉逸酒店管理集团有限公司,2003/1/1,224,1,,80000,80-100,待进一步洽谈,,广州
94,,嘉逸花园,伟逸街8号,"113.339559,23.161684",广州市嘉逸酒店管理集团有限公司,2009/1/1,1000,3,,80000,80-100,待进一步洽谈,,广州
95,,裕富公寓东塔,马场路38-2号裕富公寓,"113.344059,23.124768",广州市嘉华园物业发展有限公司,2014/1/1,400,1,,80000,80-100,待进一步洽谈,,广州
96,,裕富公寓西塔,马场路38-1号,"113.344059,23.124768",广州市嘉华园物业发展有限公司,2014/1/1,400,1,,80000,80-100,待进一步洽谈,,广州
97,,叠翠台,广东省广州市天河区黄埔大道中131-135号叠翠台,"113.368529,23.138244",广州市家怡物业管理有限公司,2000/10/1,360,1,,80000,87-88,待洽谈,,广州
98,,尚河居,广州市天河区体育西广利路85号尚河居,"113.319307,23.130973",广州市家兴物业管理有限公司,2007/10/1,180,1,,80000,87-88,待洽谈,,广州
99,,广州牧业大厦,员村二横路南社大街36号,"113.365007,23.11146",广州市创悦物业管理有限公司,2010/1/1,400,1,,80000,87-88,待洽谈,,广州
100,,隽园,天河区天府路161号,"113.368141,23.136957",广州路劲物业服务有限公司,2006/1/1,728,2,,80000,87-88,待进一步洽谈，已扫盘,,广州
101,,汇豪大厦南豪阁,马场路519号汇豪大厦南豪阁,"113.349762,23.128474",广州利佳物业管理有限公司,2000/4/1,160,1,,80000,87-88,待洽谈,,广州
102,,华江花园,黄埔大道中103号,"113.354809,23.125532",广州江发物业管理有限公司,2010/1/1,800,3,,80000,87-88,待洽谈,,广州
103,,翠湖山庄,广东省广州市天河区广州市天河区黄埔大道翠湖路 12 号翠湖山庄,"113.360533,23.133442",广州和顺物业管理有限公司,2004/6/1,700,2,,80000,87-88,待洽谈,,广州
104,,星晖花苑,黄埔大道翠华街,"113.360026,23.135762",广州和顺物业管理有限公司,2008/2/1,800,3,,80000,87-88,待洽谈,,广州
105,,翠湖山庄翠湖路,广东省广州市天河区广州市天河区黄埔大道翠湖路 2 号翠湖山庄,"113.353084,23.127573",广州和顺物业管理有限公司,2004/5/1,650,2,,80000,87-88,待洽谈,,广州
106,,富邦大厦,中山七路65号富邦大厦,"113.252758,23.124831",广州高乐物业管理有限公司,2007/5/10,500,2,,80000,87-88,待洽谈,,广州
107,,华景大厦,广州市越秀区广州大道中华景大厦,113.314406;23.1201399,广州东华物业管理有限公司,2001/1/1,410,1,,80000,75-126m2,待洽谈,,广州
108,,广州体育西小区西雅图,体育西横街体育西小区,"113.31909,23.137597",广州城建开发物业管理有限公司,2007/3/1,320,1,,80000,87-88,已入柜,,广州
109,,东晖花园,天府路157号,"113.361740,23.129157",广东粤能物业管理有限公司,1999/9/1,750,3,,80000,87-88,待洽谈,,广州
110,,尚雅小区,黄埔大道西196号尚雅小区,"113.331857,23.127931",广东容大物业管理有限公司,1995/1/1,600,2,,80000,87-88,待洽谈,,广州
111,,鸿运小区,黄埔大道中伟诚街26号鸿运小区,"113.325306,23.095217",广东容大物业管理有限公司,1995/1/1,600,2,,80000,87-88,待洽谈,,广州
112,,信成小区,信成小区广州市天河区天河东路197号,"113.339077,23.144899",广东容大物业管理有限公司,1995/1/1,500,2,,80000,87-88,待洽谈,,广州
113,,育蕾小区,天河南体育西路三街12号,"113.322926,23.128470",广东容大物业管理有限公司,1989/12/1,1300,4,,80000,87-88,待洽谈,,广州
114,,珠江俊园,枫叶路3号,"113.366923,23.136691",广东康景物业服务有限公司 ,2005/12/1,1680,6,,80000,87-88,待进一步洽谈,,广州
115,,珠江俊园北门,广东省广州市天河区枫叶路3号珠江俊园,"113.365878,23.137816",广东康景物业服务有限公司 ,2007/12/1,1680,6,,80000,87-88,待进一步洽谈,,广州
116,,东境花园,科韵路渔民新村（汇景新城东侧）,"113.361535,23.122551",广东康景物业服务有限公司 ,2016/5/1,200,1,,80000,87-88,待进一步洽谈,,广州
117,,华景新城陶然庭苑,华景北路255号,"113.361146,23.142306",广东康景物业服务有限公司 ,2004/7/1,15000,50,,80000,87-88,待进一步洽谈,,广州
118,,翰景轩,广东省广州市天河区翰景街2号,"113.351628,23.141807",广东康景物业服务有限公司 ,2005/3/1,240,1,,80000,87-88,待进一步洽谈,,广州
119,,海景中心都景轩,黄埔大道中152号,"113.355454,23.123989",广东海景物业管理有限公司,2004/1/1,260,1,,80000,87-88,待洽谈,,广州
120,,方圆小城之春,广州市天河区华景路粤生街48号之一,"113.360188,23.136574",广州方圆现代生活服务股份有限公司,2010/1/1,1200,4,,80000,87-88,待进一步洽谈，已扫盘,,广州
121,,星汇园,广州市天河区华明路,"113.31986,23.123022",广州越秀物业发展有限公司 ,2001,800,2,2,79000,94m2,已入柜,,广州
122,,东山紫园,东风东路743号,113.304185;23.132679,广州市德昇物业管理有限公司东山紫园分公司 ,2004/8/1,350,1,,79000,88m2,待洽谈,,广州
123,,星汇雅苑,广州市天河区潭村路16号,113.34956;23.120888,广州越秀物业发展有限公司 ,2006,500,1,1,75000,94m2,已入柜,,广州
124,,杨箕村小区,杨箕大街,113.311935;23.127161,广州市杨箕庚泰物业管理有限公司,2016/1/1,1350,4,,75000,75-90m2,待洽谈,,广州
125,,万科金色家园,广东省广州市东风东路746号_B栋架空层万科金色家园_,113.305824;23.137139,广州市万科物业管理有限公司,2005/1/1,321,1,,75000,65-104m2,待进一步洽谈，已扫盘,,广州
126,,君华天汇,滨江西路君华天汇,113.255675;23.106033,广州君华物业服务有限公司,2013/2/17,408,1,,75000,55-125m2,待洽谈,,广州
127,,保利中环广场,广东省广州市越秀区建设二马路29号中环广场北区,"113.281894,23.136939",广州保利城物业管理有限公司,2010/12/1,540,1,,75000,60-80m2,已接洽未签约,,广州
128,,力迅东山雅筑,东风东路776号,113.310636;23.136798,广州嘉邦酒店物业服务有限公司,2001/6/1,750,2,,73000,65m2,待洽谈,,广州
129,,锦城花园,广州市东风东路858号,113.309276;23.1313514,中海物业管理有限公司,2010/1/1,1500,5,,72000,75-132m2,待进一步洽谈，已扫盘,,广州
130,,文德雅轩小区,文德雅轩小区广州市越秀区德政中路聚仁坊9号,113.280867;23.127011,广州市金点物业管理有限公司,2005/1/1,200,1,,72000,75-120m2,待进一步洽谈,,广州
131,,魔方公寓车陂路地铁站店,中山大道东圃镇旭景西路假日新街,"113.398805,23.121718",魔方（广州）公寓管理有限公司,2015/11/12,230,1,,70000,87-88,待洽谈,,广州
132,,魔方公寓员村四横路店,广州市天河区员村四横路自编8号6-8楼,"113.377123,23.123812",魔方（广州）公寓管理有限公司,2004/5/1,155,1,,70000,87-88,待洽谈,,广州
133,,金碧翡翠华庭,广州市天河区天润路467-6号,"113.348332,23.149103",金碧物业管理有限公司,2015/12/1,486,2,,70000,87-88,待进一步洽谈,,广州
134,,华友大厦,东山寺右新马路5号华友大厦,113.311417;23.126493,华友大厦物业管理有限公司,2008/1/1,300,1,,70000,67-99m2,待洽谈,,广州
135,,东方新世界,中山大道西158号东方新世界,"113.359951,23.132693",广州宜家创生物业管理有限公司,2011/1/1,2500,8,,70000,87-88,待进一步洽谈,,广州
136,,南国嘉园苹果城,中山大道264号,"113.407558,23.129297",广州文成物业管理有限公司,2006/1/1,500,2,,70000,87-88,待洽谈,,广州
137,,东圃广场,东圃广场天河区中山大道中黄村西路84号,"113.412384,23.128523",广州天银物业管理有限公司,1999/1/1,1300,4,,70000,87-88,待进一步洽谈，已扫盘,,广州
138,,天伦花园,建设四马路18号,113.283640;23.133940,广州天伦物业管理有限公司,2004/1/1,360,1,,70000,121m2,待洽谈,,广州
139,,富力天禧花园,中山大道中与车陂路交界的东北方向的车陂北街,"113.396544,23.128593",广州天力物业发展有限公司,2003/6/1,480,2,,70000,87-88,待进一步洽谈,,广州
140,,南国嘉园,天河中山大道西118号南国嘉园,"113.401879,23.122882",广州市文成物业管理有限公司,2003/6/1,510,2,,70000,87-88,待洽谈,,广州
141,,万科金色康园,广州市越秀区康王北路1073号,113.253701;23.136084,广州市万科物业管理有限公司,2009/9/1,442,1,,70000,63-95m2,待进一步洽谈，已扫盘,,广州
142,,万科金色荔苑,广州市荔湾区龙津中路526号万科金色荔苑,113.252137;23.129097,广州市万科物业管理有限公司,2009/3/1,440,1,,70000,68-98m2,待进一步洽谈，已扫盘,,广州
143,,广州菁品园,广州菁品园广州市天河区中山大道中盈溪路菁晖街4号,"113.426501,23.118245",广州市宁骏物业管理有限公司,2006/1/1,1201,4,,70000,87-88,合同走流程 ,,广州
144,,领汇国际公寓,领汇国际公寓天河区中山大道汇彩路盈彩美居旁,"113.424805,23.118249",广州市宁骏物业管理有限公司,2008/1/1,276,1,,70000,87-88,合同走流程 ,,广州
145,,明轩大厦,广东省广州市天河区中山大道西18、20、22号明轩大厦,"113.344419,23.135552",广州市明轩物业管理有限公司,2004/6/1,260,1,,70000,87-88,待洽谈,,广州
146,,东圃城市假日园,广州市天河区中山大道旭景西路东侧（旭景西路直入200米）,"113.410156,23.132486",广州市康盛物业管理有限公司,2008/1/1,680,2,,70000,87-88,待洽谈,,广州
147,,东方熹园,东方三路,"113.358728,23.129201",广州市锦日物业服务有限公司,2010/1/1,800,3,,70000,87-88,待洽谈,,广州
148,,五羊华轩,广东省广州市越秀区东泰路路36号,113.316407;23.130783,广州市金洹物业管理有限公司,2000/3/1,192,1,,70000,70-104m2,待洽谈,,广州
149,,天河东小区,天河东小区广州市天河区德荣街22号,"113.332378,23.13835",广州市金点物业管理有限公司,1998/1/1,1300,4,,70000,87-88,待进一步洽谈,,广州
150,,华康小区,华康小区广州市天河区华康街68号,"113.337627,23.144159",广州市金点物业管理有限公司,1999/1/1,2000,7,,70000,87-88,待进一步洽谈,,广州
151,,天字广场,沿江中路203号,113.270563;23.115031,广州市港联长江物业管理有限公司,2000/1/1,500,1,,70000,60-90m2,待洽谈,,广州
152,,帆影阁,广州市海珠区滨江西路130号帆影阁,113.263178;23.112911,广州圣元物业管理有限公司,2011/6/1,240,1,,70000,62-134m2,待洽谈,,广州
153,,华建小区,东方三路3-7号,"113.357261,23.127103",广州和顺物业管理有限公司,2002/5/1,320,1,,70000,87-88,待洽谈,,广州
154,,文化大厦,广州市越秀区达道路10号 文化大厦,113.30332;23.119928,广州东华物业管理有限公司,2006/1/1,410,1,,70000,75-114m2,待洽谈,,广州
155,,五羊东南小区,广州市越秀区寺右南三街二巷4号五羊东南小区,113.314115;23.1175738,广州东华物业管理有限公司,1994/1/1,300,1,,70000,75-134m2,待洽谈,,广州
156,,五羊西南小区,寺右南路一街五巷五羊西南小区,113.317397;23.123412,广州东华物业管理有限公司,1990/2/1,530,1,,70000,75-134m2,待洽谈,,广州
157,,西雅苑,体育西路127,"113.31909,23.137597",广州城建开发物业管理有限公司,2005/8/3,700,2,,70000,87-88,已入柜,,广州
158,,朝辉苑,天寿路2号至8号,"113.331824,23.143051",广州城建开发物业管理有限公司,1997/3/1,500,2,,70000,87-88,已入柜,,广州
159,,历德雅舍,广州市中山大道西207号,"113.365688,23.137677",广州百嘉和物业管理发展有限公司历德雅舍物业服务中心,2003/12/1,1000,3,,70000,87-88,待进一步洽谈,,广州
160,,旭景家园,天河天河区中山大道旭景西街旭景家园C区,"113.402252,23.132309",广东康景物业服务有限公司 ,2004/2/1,560,2,,70000,87-88,待进一步洽谈,,广州
161,,旭景熙园,中山大道熙湖街 1-103 号旭景熙园,"113.401566,23.130415",广东康景物业服务有限公司 ,2004/2/1,480,2,,70000,87-88,待进一步洽谈,,广州
162,,骏景东御苑,中山大道190号,"113.387857,23.124728",广东康景物业服务有限公司 ,2014/3/1,800,3,,70000,87-88,待进一步洽谈,,广州
163,,骏景花园,广州市中山大道190号骏景花园二期,"113.384056,23.126311",广东康景物业服务有限公司 ,2002/2/1,2000,7,,70000,87-88,待进一步洽谈,,广州
164,,华景新城华景北区,广州市天河区中山大道105号华景新城,"113.360882,23.144938",广东康景物业服务有限公司 ,2002/1/1,6848,23,,70000,87-88,待进一步洽谈,,广州
165,,华景里,广东省广州市天河区中山大道华景新城信华一街7-11号,"113.364816,23.140398",广东康景物业服务有限公司 ,2012/6/1,772,3,,70000,87-88,待进一步洽谈,,广州
166,,华景锦苑,中山大道华景路锦祥二街2-6号,"113.364249,23.139096",广东康景物业服务有限公司 ,2014/12/1,300,1,,70000,87-88,待进一步洽谈,,广州
167,,华景新城翠安侬苑,中山大道华景北路35号至40号,"113.361025,23.141141",广东康景物业服务有限公司 ,2004/7/1,15000,50,,70000,87-88,待进一步洽谈,,广州
168,,华景新城逸馨居,中山大道华景路171号,"113.360774,23.139773",广东康景物业服务有限公司 ,2003/7/1,15000,50,,70000,87-88,待进一步洽谈,,广州
169,,华景新城,广东省广州市天河区中山大道华景路78号,"113.359596,23.140499",广东康景物业服务有限公司 ,2002/6/1,800,3,,70000,87-88,待进一步洽谈,,广州
